;title;link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
0;Shingeki no Kyojin;https://myanimelist.net/anime/16498/Shingeki_no_Kyojin;AoT, SnK;進撃の巨人;TV;25;Finished Airing;Apr 7, 2013 to Sep 29, 2013;Spring 2013;Sundays at 01:58 (JST);['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise'];Funimation;Wit Studio;Manga;['Action', 'Award Winning', 'Drama', 'Suspense'];['Gore', 'Military', 'Survival'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);8.53;#110;#1;3,652,639;159,891;['Crunchyroll', 'Funimation', '', ''];Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.  After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.  [Written by MAL Rewrite];;
1;Fullmetal Alchemist: Brotherhood;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood;Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009),;鋼の錬金術師 FULLMETAL ALCHEMIST;TV;64;Finished Airing;Apr 5, 2009 to Jul 4, 2010;Spring 2009;Sundays at 17:00 (JST);['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken'];Funimation, Aniplex of America;Bones;Manga;['Action', 'Adventure', 'Drama', 'Fantasy'];;Shounen;24 min. per ep.;R - 17+ (violence & profanity);9.11;#1;#3;3,093,314;213,500;['Crunchyroll', 'Funimation'];"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.  The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.  As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.  [Written by MAL Rewrite]";Military;
2;One Punch Man;https://myanimelist.net/anime/30276/One_Punch_Man;One Punch-Man, One-Punch Man, OPM;ワンパンマン;TV;12;Finished Airing;Oct 5, 2015 to Dec 21, 2015;Fall 2015;Mondays at 01:05 (JST);['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications'];VIZ Media;Madhouse;Web manga;['Action', 'Comedy'];['Adult Cast', 'Parody', 'Super Power'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);8.50;#127;#4;2,985,579;61,210;['Crunchyroll', 'Funimation', ''];The seemingly unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, Saitama relentlessly trained for three years, losing all of his hair in the process. Now, Saitama is so powerful, he can defeat any enemy with just one punch. However, having no one capable of matching his strength has led Saitama to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.  One day, Saitama catches the attention of 19-year-old cyborg Genos, who witnesses his power and wishes to become Saitama's disciple. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society. Saitama, who is shocked that no one knows who he is, quickly agrees. Meeting new allies and taking on new foes, Saitama embarks on a new journey as a member of the Hero Association to experience the excitement of battle he once felt.  [Written by MAL Rewrite];;
3;Sword Art Online;https://myanimelist.net/anime/11757/Sword_Art_Online;S.A.O, SAO;ソードアート・オンライン;TV;25;Finished Airing;Jul 8, 2012 to Dec 23, 2012;Summer 2012;Sundays at 00:00 (JST);['Aniplex', 'Genco', 'DAX Production', 'ASCII Media Works', 'Bandai Namco Games'];Aniplex of America;A-1 Pictures;Light novel;['Action', 'Adventure', 'Fantasy', 'Romance'];['Love Polygon', 'Video Game'];;23 min. per ep.;PG-13 - Teens 13 or older;7.20;#3113;#5;2,897,503;66,199;['Crunchyroll', 'Funimation', ''];"Ever since the release of the innovative NerveGear, gamers from all around the globe have been given the opportunity to experience a completely immersive virtual reality. Sword Art Online (SAO), one of the most recent games on the console, offers a gateway into the wondrous world of Aincrad, a vivid, medieval landscape where users can do anything within the limits of imagination. With the release of this worldwide sensation, gaming has never felt more lifelike.  However, the idyllic fantasy rapidly becomes a brutal nightmare when SAO's creator traps thousands of players inside the game. The ""log-out"" function has been removed, with the only method of escape involving beating all of Aincrad's one hundred increasingly difficult levels. Adding to the struggle, any in-game death becomes permanent, ending the player's life in the real world.  While Kazuto ""Kirito"" Kirigaya was fortunate enough to be a beta-tester for the game, he quickly finds that despite his advantages, he cannot overcome SAO's challenges alone. Teaming up with Asuna Yuuki and other talented players, Kirito makes an effort to face the seemingly insurmountable trials head-on. But with difficult bosses and threatening dark cults impeding his progress, Kirito finds that such tasks are much easier said than done.  [Written by MAL Rewrite]";;
4;Boku no Hero Academia;https://myanimelist.net/anime/31964/Boku_no_Hero_Academia;;僕のヒーローアカデミア;TV;13;Finished Airing;Apr 3, 2016 to Jun 26, 2016;Spring 2016;Sundays at 17:00 (JST);['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha'];Funimation;Bones;Manga;;['School', 'Super Power'];Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.90;#718;#6;2,813,767;52,785;['Crunchyroll', 'Funimation', ''];"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.  Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!  Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.  [Written by MAL Rewrite]";;Action
5;Kimetsu no Yaiba;https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba;Blade of Demon Destruction;鬼滅の刃;TV;26;Finished Airing;Apr 6, 2019 to Sep 28, 2019;Spring 2019;Saturdays at 23:30 (JST);['Aniplex', 'Shueisha'];Aniplex of America;ufotable;Manga;['Action', 'Award Winning', 'Fantasy'];;Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.52;#119;#7;2,701,388;85,834;['Crunchyroll', 'Funimation', ''];Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.  When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.  [Written by MAL Rewrite];Historical;
6;Naruto;https://myanimelist.net/anime/20/Naruto;NARUTO;ナルト;TV;220;Finished Airing;Oct 3, 2002 to Feb 8, 2007;Fall 2002;Thursdays at 19:30 (JST);['TV Tokyo', 'Aniplex', 'Shueisha'];VIZ Media;Pierrot;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;7.98;#609;#8;2,655,242;74,601;['Crunchyroll', 'Funimation', ''];Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto.  Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes.  [Written by MAL Rewrite];Martial Arts;
7;Tokyo Ghoul;https://myanimelist.net/anime/22319/Tokyo_Ghoul;Tokyo Kushu, Toukyou Kushu, Toukyou Ghoul;東京喰種-トーキョーグール-;TV;12;Finished Airing;Jul 4, 2014 to Sep 19, 2014;Summer 2014;Fridays at 00:00 (JST);['Marvelous AQL', 'TC Entertainment', 'Shueisha'];Funimation;Pierrot;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);7.79;#937;#9;2,643,655;48,465;['Crunchyroll', 'Funimation', '', ''];"A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date.  While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body.  Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them.  [Written by MAL Rewrite]";;
8;Hunter x Hunter (2011);https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011;HxH (2011);HUNTER×HUNTER（ハンター×ハンター）;TV;148;Finished Airing;Oct 2, 2011 to Sep 24, 2014;Fall 2011;Sundays at 10:55 (JST);['VAP', 'Nippon Television Network', 'Shueisha'];VIZ Media;Madhouse;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;9.04;#9;#10;2,580,444;195,630;['Crunchyroll', 'Netflix', ''];Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.  Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.  During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.  [Written by MAL Rewrite];;
9;Shingeki no Kyojin Season 2;https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2;;進撃の巨人 Season2;TV;12;Finished Airing;Apr 1, 2017 to Jun 17, 2017;Spring 2017;Saturdays at 22:00 (JST);['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];Funimation;Wit Studio;Manga;['Action', 'Drama', 'Suspense'];['Gore', 'Military', 'Survival'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);8.50;#128;#12;2,495,054;20,464;['Crunchyroll', 'Netflix', ''];For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more.  In Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.  [Written by MAL Rewrite];;
