;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme;genre
0;Neon Genesis Evangelion;https://myanimelist.net/anime/30/Neon_Genesis_Evangelion;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Shinseiki Evangelion;新世紀エヴァンゲリオン;TV;26;Finished Airing;Oct 4, 1995 to Mar 27, 1996;Fall 1995;Wednesdays at 18:30 (JST);['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka'];ADV Films, GKIDS;Gainax, Tatsunoko Production;Original;['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense'];['Mecha', 'Psychological'];24 min. per ep.;PG-13 - Teens 13 or older;8.34;#207;#46;1,673,994;98,198;;['Netflix'];"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.  Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.  A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.  [Written by MAL Rewrite]";;
1;Devilman: Crybaby;https://myanimelist.net/anime/35120/Devilman__Crybaby;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;DEVILMAN crybaby;ONA;10;Finished Airing;Jan 5, 2018;;;['Aniplex', 'Dynamic Planning', 'Netflix'];None found, add some;Science SARU;Manga;['Action', 'Avant Garde', 'Horror', 'Supernatural'];['Gore', 'Mythology'];25 min. per ep.;R+ - Mild Nudity;7.76;#992;#129;1,053,018;22,543;Shounen;['Netflix'];Devils cannot take form without a living host. However, if the will of an individual is strong enough, they can overcome the demon and make its power their own, becoming a Devilman.  Weak and unassuming, Akira Fudou has always had a bleeding heart. So when his childhood friend Ryou Asuka asks for his help in uncovering devils, Akira accepts without hesitation. However, to Akira's surprise, the place they go to is Sabbath: an immoral party of debauchery and degeneracy. Amidst bloodshed and death, demons possess the partiers, turning their bodies into grotesque monsters, and begin wreaking havoc. In a reckless attempt to save his best friend, Akira unwittingly merges with the devil Amon and becomes a Devilman, gaining the power to defeat the remaining demons.  Though it grants him great power, this new partnership awakens an insatiable and primeval part of Akira. Having the body of a devil but the same crybaby heart, Akira works alongside Ryou, destroying those that harm humanity and his loved ones.  [Written by MAL Rewrite];;
2;Neon Genesis Evangelion: The End of Evangelion;https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Shinseiki Evangelion Gekijouban: The End of Evangelion;新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION;Movie;1;Finished Airing;Jul 19, 1997;;;['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka'];GKIDS, Manga Entertainment;Gainax, Production I.G;Original;['Avant Garde', 'Drama', 'Sci-Fi'];['Mecha', 'Psychological'];1 hr. 26 min.;R+ - Mild Nudity;8.55;#102;#178;854,585;26,491;;['Netflix'];Shinji Ikari is left emotionally comatose after the death of a dear friend. With his son mentally unable to pilot the humanoid robot Evangelion Unit-01, Gendou Ikari's NERV races against the shadow organization SEELE to see who can enact their ultimate plan first. SEELE desires to create a godlike being by fusing their own souls into an Evangelion unit, while Gendou wishes to revert all of humanity into one primordial being so that he can be reunited with Yui, his deceased wife.  SEELE unleashes its military forces in a lethal invasion of NERV headquarters. As SEELE's forces cut down NERV's scientists and security personnel, Asuka Langley Souryuu pilots Evangelion Unit-02 in a desperate last stand against SEELE's heaviest weaponry.  The battle rages on, and a depressed Shinji hides deep within NERV's headquarters. With the fate of the world resting in Shinji's hands, Captain Misato Katsuragi hunts for the teenage boy as society crumbles around them.  [Written by MAL Rewrite];;
3;FLCL;https://myanimelist.net/anime/227/FLCL;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Fooly Cooly, Furi Kuri;フリクリ;OVA;6;Finished Airing;Apr 26, 2000 to Mar 16, 2001;;;['Starchild Records', 'GANSIS'];Funimation, Synch-Point;Gainax, Production I.G;Original;['Action', 'Avant Garde', 'Comedy', 'Sci-Fi'];['Mecha', 'Parody', 'Psychological'];25 min. per ep.;PG-13 - Teens 13 or older;8.03;#541;#218;770,997;28,308;;['Funimation'];Naota Nandaba is an ordinary sixth grader living in a city where nothing amazing ever seems to happen. After his brother Tasuku leaves town to play baseball in America, Naota takes it upon himself to look after everything Tasuku left behind—from his top bunk bed to his ex-girlfriend Mamimi Samejima, who hasn't stopped clinging to Naota since Tasuku left.  Little does Naota know, however, that his mundane existence is on the verge of being changed forever: enter Haruko Haruhara, a Vespa-riding, bass guitar-wielding, pink-haired psychopath whose first encounter with Naota leaves him with tire tracks on his back and a giant horn on his head. Though all he wants is some peace and quiet, when Haruko takes up residence at his parents' home, Naota finds himself dragged into the heart of the greatest battle for supremacy that Earth—and quite possibly the entire universe—has ever seen.  [Written by MAL Rewrite];;
4;Serial Experiments Lain;https://myanimelist.net/anime/339/Serial_Experiments_Lain;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;シリアルエクスペリメンツレイン;TV;13;Finished Airing;Jul 6, 1998 to Sep 28, 1998;Summer 1998;Tuesdays at 01:15 (JST);['TV Tokyo', 'Geneon Universal Entertainment', 'Genco', 'Pioneer LDC', 'TV Tokyo Music', 'Fujipacific Music'];Funimation, Geneon Entertainment USA;Triangle Staff;Original;['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural'];;23 min. per ep.;R - 17+ (violence & profanity);8.08;#479;#252;695,069;24,627;;['Crunchyroll', 'Funimation'];"Lain Iwakura, an awkward and introverted fourteen-year-old, is one of the many girls from her school to receive a disturbing email from her classmate Chisa Yomoda—the very same Chisa who recently committed suicide. Lain has neither the desire nor the experience to handle even basic technology; yet, when the technophobe opens the email, it leads her straight into the Wired, a virtual world of communication networks similar to what we know as the internet. Lain's life is turned upside down as she begins to encounter cryptic mysteries one after another. Strange men called the Men in Black begin to appear wherever she goes, asking her questions and somehow knowing more about her than even she herself knows. With the boundaries between reality and cyberspace rapidly blurring, Lain is plunged into more surreal and bizarre events where identity, consciousness, and perception are concepts that take on new meanings.  Written by Chiaki J. Konaka, whose other works include Texhnolyze, Serial Experiments Lain is a psychological avant-garde mystery series that follows Lain as she makes crucial choices that will affect both the real world and the Wired. In closing one world and opening another, only Lain will realize the significance of their presence.  [Written by MAL Rewrite]";Psychological;
5;Perfect Blue;https://myanimelist.net/anime/437/Perfect_Blue;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;パーフェクトブルー;Movie;1;Finished Airing;Feb 28, 1998;;;['Rex Entertainment', 'ONIRO'];GKIDS, Manga Entertainment;Madhouse;Novel;['Avant Garde', 'Drama', 'Horror'];['Adult Cast', 'Psychological', 'Showbiz'];1 hr. 21 min.;R+ - Mild Nudity;8.53;#108;#297;627,817;16,974;;[];"J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her.  However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy.  [Written by MAL Rewrite]";;
6;Paprika;https://myanimelist.net/anime/1943/Paprika;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;パプリカ;Movie;1;Finished Airing;Nov 25, 2006;;;['Sony Pictures Entertainment', 'Cyclone Graphics'];None found, add some;Madhouse;Novel;['Avant Garde', 'Award Winning', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense'];['Adult Cast', 'Psychological'];1 hr. 30 min.;R+ - Mild Nudity;8.04;#528;#400;494,265;4,172;;['Netflix'];"The world of dreams can be an incredible window into the psyche, showing one's deepest desires, aspirations, and repressed memories. One hopeful tech lab has been developing the ""DC Mini,"" a device with the power to delve into the dreams of others. Atsuko Chiba and Kosaku Tokita have been tirelessly working to develop this technology with the hopes of using it to deeply explore patients' minds and help cure them of their psychological disorders.  However, having access to the deepest corners of a person's mind comes with a tremendous responsibility. In the wrong hands, the DC Mini could be used as a form of psychological terrorism and cause mental breakdowns in the minds of targets. When this technology is stolen and people around them start acting strangely, Atsuko and Kosaku know they have a serious problem on their hands. Enlisting the help of Officer Konakawa, who has been receiving this experimental therapy, they search both the real and dream worlds for their mental terrorist.  [Written by MAL Rewrite]";;
7;Mousou Dairinin;https://myanimelist.net/anime/323/Mousou_Dairinin;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Mousou Dairinin;妄想代理人;TV;13;Finished Airing;Feb 3, 2004 to May 18, 2004;Winter 2004;Saturdays at 00:00 (JST);['WOWOW', 'Asmik Ace', 'Tohokushinsha Film Corporation'];Funimation, Geneon Entertainment USA;Madhouse;Original;['Avant Garde', 'Drama', 'Mystery', 'Supernatural', 'Suspense'];['Detective', 'Psychological'];24 min. per ep.;R+ - Mild Nudity;7.67;#1218;#528;386,672;5,132;;['Crunchyroll', 'Funimation', ''];The infamous Shounen Bat (Lil' Slugger) is terrorizing the residents of Musashino City. Flying around on his rollerblades and beating people down with a golden baseball bat, the assailant seems impossible to catch—much less understand. His first victim, the well-known yet timid character designer Tsukiko Sagi, is suspected of orchestrating the attacks. Believed only by her anthropomorphic pink stuffed animal, Maromi, Tsukiko is just one of Shounen Bat's many victims.  As Shounen Bat continues his relentless assault on the town, detectives Keiichi Ikari and Mitsuhiro Maniwa begin to investigate the identity of the attacker. However, more and more people fall victim to the notorious golden bat, and news of the assailant begins circulating around the town. Paranoia starts to set in as chilling rumors spread amongst adults and children alike.  Will the two detectives be able to unravel the truth behind Shounen Bat, or will the paranoia get to them first?  [Written by MAL Rewrite];;
8;Mawaru Penguindrum;https://myanimelist.net/anime/10721/Mawaru_Penguindrum;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;輪るピングドラム;TV;24;Finished Airing;Jul 8, 2011 to Dec 23, 2011;Summer 2011;Fridays at 02:10 (JST);['Starchild Records', 'Mainichi Broadcasting System'];Sentai Filmworks;Brain's Base;Original;['Avant Garde', 'Comedy', 'Drama', 'Mystery'];;24 min. per ep.;R - 17+ (violence & profanity);7.95;#647;#750;288,503;7,149;;['HIDIVE'];"For the Takakura family, destiny is an ever-spinning wheel, pointing passionately in their direction with equal tides of joy and sorrow before ticking on to the next wishmaker. With their parents gone, twin brothers Kanba and Shouma live alone with their beloved little sister Himari, whose poor health cannot decline any further.  On the day Himari is given permission to temporarily leave the hospital, her brothers take her out to the aquarium to celebrate, where the family's supposed fate is brought forth with her sudden collapse. However, when Himari is inexplicably revived by a penguin hat from the aquarium's souvenir shop, the hand of fate continues to tick faithfully forward.  With her miraculous recovery, though, comes a cost: there is a new entity within her body, whose condition for keeping her fate at bay sends the boys on a wild goose chase for the mysterious ""Penguin Drum."" In their search, the boys will have to follow the threads of fate leading from their own shocking past and into the lives of other wishmakers vying for the Penguin Drum, all hoping to land upon their chosen destiny.  [Written by MAL Rewrite]";Psychological;
9;Boogiepop wa Warawanai (2019);https://myanimelist.net/anime/37451/Boogiepop_wa_Warawanai_2019;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Boogiepop Never Laughs, Boogiepop Doesn't Laugh;ブギーポップは笑わない;TV;18;Finished Airing;Jan 4, 2019 to Mar 29, 2019;Winter 2019;Fridays at 21:00 (JST);['AT-X', 'Kadokawa Media House', 'Kadokawa'];Funimation;Madhouse;Light novel;['Avant Garde', 'Drama', 'Horror', 'Mystery', 'Supernatural'];;23 min. per ep.;R - 17+ (violence & profanity);7.08;#3686;#995;217,844;786;;['Crunchyroll', 'Funimation'];"Hushed exchanges among the female student populace of Shinyo Academy center around an enigmatic supernatural entity. This entity is Boogiepop, a Shinigami who is rumored to murder people at the height of their beauty before their allure wanes. Few know of his true nature: a guardian who, between periods of dormancy, manifests as the alter ego of a high school girl named Touka Miyashita to fend off ""the enemies of the world."" Now, a string of mysterious disappearances—presumed by the school to be merely runaways—has caused Boogiepop to awaken. But somewhere in the academy, a menacing creature hides, waiting for its opportune moment to strike.  Boogiepop wa Warawanai subtly explores the intrinsic associations between human beings and their perception of time, while delving into its characters' complex relationships, emotions, memories, and pasts.  [Written by MAL Rewrite]";Psychological;
