;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Given;https://myanimelist.net/anime/39533/Given;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;22 min. per ep.;Finished Airing;Jul 12, 2019 to Sep 20, 2019;11;TV;Manga;['Boys Love', 'Drama', 'Romance'];['Music', 'School'];NOT_EXIST;['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shinshokan'];Lerche;None found, add some;['Yano, Shougo', 'Uchida, Yuuma', 'Nakazawa, Masatomo', 'Eguchi, Takuya', 'Asanuma, Shintarou', 'Shin, Yuuki', 'Imai, Fumiya', 'Ban, Taito', 'Takeuchi, Ryouta', 'Shimamura, Yuu'];[{'name': 'Higa, Yuuji', 'role': 'Producer'}, {'name': 'Matsumoto, Miho', 'role': 'Producer'}, {'name': 'Mori, Akitoshi', 'role': 'Producer'}, {'name': 'Yamaguchi, Hikaru', 'role': 'Director'}];8.33;#223;PG-13 - Teens 13 or older;16,355;#380;524,737;['Crunchyroll', 'Netflix'];Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life. While taking a nap in a quiet spot on the gymnasium staircase, he has a chance encounter with fellow student Ritsuka Uenoyama, who berates him for letting his guitar's strings rust and break. Noticing Uenoyama's knowledge of the instrument, Satou pleads for him to fix it and to teach him how to play. Uenoyama eventually agrees and invites him to sit in on a jam session with his two band mates: bassist Haruki Nakayama and drummer Akihiko Kaji.  Satou's voice is strikingly beautiful, filling Uenoyama with the determination to make Satou the lead singer of the band. Though reticent at first, Satou takes the offer after an emotional meeting with an old friend. With the support of his new friends, Satou must not only learn how to play guitar, but also come to terms with the mysterious circumstances that led him to be its owner.  [Written by MAL Rewrite];NOT_EXIST;ギヴン
1;Doukyuusei (Movie);https://myanimelist.net/anime/30346/Doukyuusei_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;1 hr.;Finished Airing;Feb 20, 2016;1;Movie;Manga;['Boys Love', 'Romance'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Half H.P Studio'];A-1 Pictures;Aniplex of America;['Kamiya, Hiroshi', 'Nojima, Kenji', 'Ishikawa, Hideo', 'Kousaka, Atsushi'];[{'name': 'Fukushima, Yuuichi', 'role': 'Producer'}, {'name': 'Kurosaki, Shizuka', 'role': 'Producer'}, {'name': 'Nakamura, Shouko', 'role': 'Director, Storyboard, Key Animation'}, {'name': 'Fujita, Akiko', 'role': 'Sound Director'}];8.29;#258;PG-13 - Teens 13 or older;5,842;#872;251,584;[];Hikaru Kusakabe is a normal, carefree boy in a rock band who is always focused on the present. During the summer, his entire class is forced to participate in an upcoming chorus festival. By coincidence, he discovers his classmate Rihito Sajou—known for being an honor student with excellent grades—practicing his singing alone. Sajou just cannot seem to get their class' song right, and Kusakabe, delighted at seeing a new side of his straight-laced classmate, offers to help him prepare for the event.  Although their lives and personalities are total opposites, they begin to grow closer as time progresses. But with the pressure of an unknown future, what will become of them and their growing relationship?  [Written by MAL Rewrite];NOT_EXIST;同級生
2;Love Stage!!;https://myanimelist.net/anime/21105/Love_Stage;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Jul 10, 2014 to Sep 11, 2014;10;TV;Manga;['Boys Love', 'Comedy', 'Romance'];['Adult Cast', 'Otaku Culture', 'Showbiz'];NOT_EXIST;['Kadokawa Shoten'];J.C.Staff;Sentai Filmworks;['Yonaga, Tsubasa', 'Eguchi, Takuya', 'Hirakawa, Daisuke', 'DAIGO', 'Kimura, Ryouhei', 'Okiayu, Ryoutarou', 'Majima, Junji', 'Ohara, Sayaka', 'Tsumita, Kayoko', 'Yamamoto, Kazutomi'];[{'name': 'Kasai, Kenichi', 'role': 'Director'}, {'name': 'Yokota, Chikako', 'role': 'Sound Director'}, {'name': 'Yokote, Michiko', 'role': 'Script, Series Composition'}, {'name': 'Hayashi, Yuu', 'role': 'Theme Song Lyrics'}];7.20;#3108;PG-13 - Teens 13 or older;1,585;#879;249,019;['Crunchyroll', 'HIDIVE'];"With an actress mother, producer father, and rockstar brother, anyone would expect Izumi Sena to eventually enter showbiz himself. However, aside from a commercial for a wedding magazine when he was a child, Izumi has never been in the spotlight; instead, he aims to become a manga artist.  But a decade after the shoot, the magazine calls for a 10th anniversary ad, requesting the original child actors for the project. This reunites Izumi with Ryouma Ichijou, now a popular actor who, much to Izumi's shock, has been in love with him ever since their first meeting! However, due to Izumi's feminine appearance and unisex name, Ryouma believed the boy was a girl and continues to do so to this day. Izumi's troubles are just beginning, because even after discovering the truth, Ryouma can't seem to shake off his feelings...  [Written by MAL Rewrite]";NOT_EXIST;LOVE STAGE!!
3;Junjou Romantica;https://myanimelist.net/anime/3092/Junjou_Romantica;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Apr 11, 2008 to Jun 27, 2008;12;TV;Manga;['Boys Love', 'Comedy', 'Drama', 'Romance'];NOT_EXIST;NOT_EXIST;['Frontier Works', 'Kadokawa Shoten', 'Memory-Tech', 'Romantica club !!'];Studio Deen;Nozomi Entertainment;['Hanada, Hikaru', 'Sakurai, Takahiro', 'Itou, Kentarou', 'Canna, Nobutoshi', 'Kishio, Daisuke', 'Inoue, Kazuhiko', 'Morikawa, Toshiyuki', 'Namiki, Noriko', 'Okiayu, Ryoutarou', 'Taniyama, Kishou'];[{'name': 'Kon, Chiaki', 'role': 'Director, Episode Director, Storyboard, Key Animation'}, {'name': 'Gouda, Hozumi', 'role': 'Sound Director'}, {'name': 'Jinbo, Masato', 'role': 'Episode Director'}, {'name': 'Yokote, Michiko', 'role': 'Script'}];7.50;#1733;PG-13 - Teens 13 or older;4,393;#891;246,336;['Crunchyroll', 'Funimation'];High school student Misaki Takahashi returns home to see his older brother being fondled by an unknown man. Bewildered by such a sight, Misaki finds out that the stranger is actually Akihiko Usami, a popular novelist and his brother's best friend. With the two of them slowly becoming acquainted, Akihiko ends up as Misaki's private tutor. However, after stumbling upon the author's latest boys-love novel, Misaki becomes uncertain whether or not to trust Akihiko regarding his friendship with the student's brother.  Elsewhere, Hiroki Kamijou, a university teacher of classical literature and Akihiko's friend, is grieving a failed romance. While on the edge of a mental breakdown, he meets student Nowaki Kusama, who wants his help for an upcoming exam. Despite denying Nowaki's request numerous times, Hiroki eventually lends him a hand. As the two get closer, more revelations about the student are made.  Furthermore, when wealthy teenager Shinobu Takatsuki finds out that his older sister has divorced Hiroki's coworker You Miyagi, he immediately wants to date the same man—as he saved Shinobu from a robbery three years prior. Even so, You does not feel the same way and attempts to scare him off. However, the educator soon realizes that Shinobu will do anything for their destined romance.  Junjou Romantica collects three love stories, narrating every couple's romance.  [Written by MAL Rewrite];Junjyou Romantica, Junjou Romantica: Pure Romance;純情ロマンチカ
4;Given Movie;https://myanimelist.net/anime/40421/Given_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;59 min.;Finished Airing;Aug 22, 2020;1;Movie;Manga;['Boys Love', 'Drama', 'Romance'];NOT_EXIST;NOT_EXIST;['Blue Lynx'];Lerche;None found, add some;['Yano, Shougo', 'Uchida, Yuuma', 'Nakazawa, Masatomo', 'Eguchi, Takuya', 'Asanuma, Shintarou', 'Imai, Fumiya', 'Ban, Taito', 'Takeuchi, Ryouta', 'Takanashi, Kengo', 'Amano, Hirosato'];[{'name': 'Yamaguchi, Hikaru', 'role': 'Director'}, {'name': 'Kikuta, Hiromi', 'role': 'Sound Director'}, {'name': 'Ezoe, Hitomi', 'role': 'Episode Director, Storyboard'}, {'name': 'Centimillimental', 'role': 'Theme Song Composition, Theme Song Performance, Theme Song Lyrics, Theme Song Arrangement'}];8.14;#421;PG-13 - Teens 13 or older;1,520;#1020;214,948;['Crunchyroll'];"The band ""given""—comprised of Ritsuka Uenoyama, Mafuyu Satou, Haruki Nakayama, and Akihiko Kaji—has advanced to the final screening of the Countdown-fes Amateur Contest, in which they will be judged on their live act. Although enthusiastic, they worry about having only one original song to perform.  Mafuyu embraces the idea of learning more about music in order to create new, emotionally resonant songs. In this regard, he unexpectedly receives help from Ugetsu Murata, Akihiko's on-again, off-again lover. Ugetsu has unsuccessfully tried to let go of Akihiko, who himself is torn between lingering feelings for his past and an uncertain resolve for the future.  As the competition draws near, Haruki uncharacteristically begins to doubt his place in the band and the trust he shares with Akihiko. It is a given that not all attachments last forever, but it remains to be seen what can be salvaged from the ruins of heartbreak—or if only regrets will endure.  [Written by MAL Rewrite]";Eiga Given;映画 ギヴン
5;Sekaiichi Hatsukoi;https://myanimelist.net/anime/9926/Sekaiichi_Hatsukoi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;23 min. per ep.;Finished Airing;Apr 9, 2011 to Jun 25, 2011;12;TV;Manga;['Boys Love', 'Comedy', 'Drama', 'Romance'];['Adult Cast', 'Workplace'];NOT_EXIST;['Lantis', 'Kadokawa Shoten', 'AT-X', 'DAX Production', 'KlockWorx'];Studio Deen;Funimation;['Konishi, Katsuyuki', 'Kondou, Takashi', 'Okamoto, Nobuhiko', 'Maeno, Tomoaki', 'Nakamura, Yuuichi', 'Tachibana, Shinnosuke', 'Horiuchi, Kenyuu', 'Kamiya, Hiroshi', 'Morikawa, Toshiyuki', 'Yusa, Kouji'];[{'name': 'Kon, Chiaki', 'role': 'Director, Storyboard'}, {'name': 'Gouda, Hozumi', 'role': 'Sound Director'}, {'name': 'Takamura, Yuuta', 'role': 'Episode Director'}, {'name': 'Yokote, Michiko', 'role': 'Script'}];7.66;#1241;PG-13 - Teens 13 or older;3,049;#1041;211,410;['Crunchyroll', 'Funimation'];After having to deal with jealousy from his co-workers for working under his father's name, prideful literary editor Ritsu Onodera is determined to establish himself in the industry. To accomplish this, he quits his job at his father's publishing company and transfers to Marukawa Publishing. But instead of being placed in their literary division, Ritsu finds himself working as the rookie manga editor for the Emerald editing department, a team that operates under extremely tight schedules in order to meet deadlines. There, Ritsu is introduced to the infamous editor-in-chief Masamune Takano, a persistent man who strives for results.  As it turns out, Takano is actually Ritsu's high school love, and it is the aftermath of that heartbreak has caused Ritsu's reluctance to fall in love again. Now with the two reunited after several years of separation, the reestablishment of their relationship is marked by Takano's vow to make Ritsu say that he loves him again.  Sekaiichi Hatsukoi follows three couples that are interconnected within the manga industry, with each being subject to the budding of first love.  [Written by MAL Rewrite];Sekai-ichi Hatsukoi, Sekai'ichi Hatsukoi, World's Greatest First Love;世界一初恋 TV
6;Boku no Pico;https://myanimelist.net/anime/1639/Boku_no_Pico;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;32 min.;Finished Airing;Sep 7, 2006;1;OVA;Original;['Boys Love', 'Hentai'];NOT_EXIST;NOT_EXIST;['Natural High'];Sugar Boy, Blue Cat;None found, add some;['Sakou, Mariko'];[{'name': 'Yatabe, Katsuyoshi', 'role': 'Director'}, {'name': 'Takayama, Katsuhiko', 'role': 'Script'}, {'name': 'Pico', 'role': 'Theme Song Performance'}, {'name': 'Yoshiten', 'role': 'Character Design, Animation Director'}];4.23;N/A;Rx - Hentai;1,698;#1238;175,157;[];Upbeat and effeminate Pico is working at his grandfather's coffee shop, Café Bebe, for the summer. Tamotsu is a white-collar worker looking for an escape from the mundanity of his everyday life. When they meet at the café, sparks of love and lust quickly draw the two together. Conventional notions of age, gender, and sexuality are broken down as the pair seeks carnal gratification in one another's company. But do the pleasures of flesh equate to a connection between hearts?  [Written by MAL Rewrite];Boku no Piko, My Pico, Boku no Pico OVA 1 - My Pico;ぼくのぴこ
7;Junjou Romantica 2;https://myanimelist.net/anime/4814/Junjou_Romantica_2;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Oct 12, 2008 to Dec 28, 2008;12;TV;Manga;['Boys Love', 'Comedy', 'Drama', 'Romance'];NOT_EXIST;NOT_EXIST;['Frontier Works', 'Kadokawa Shoten', 'Memory-Tech', 'Romantica club !!'];Studio Deen;Nozomi Entertainment;['Hanada, Hikaru', 'Sakurai, Takahiro', 'Itou, Kentarou', 'Canna, Nobutoshi', 'Kishio, Daisuke', 'Inoue, Kazuhiko', 'Morikawa, Toshiyuki', 'Gouda, Hozumi', 'Namiki, Noriko', 'Toriumi, Kousuke'];[{'name': 'Takechi, Tsuneo', 'role': 'Producer'}, {'name': 'Yoshikawa, Mei', 'role': 'Producer'}, {'name': 'Kon, Chiaki', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Gouda, Hozumi', 'role': 'Sound Director'}];7.72;#1116;PG-13 - Teens 13 or older;960;#1240;174,910;['Crunchyroll'];The second part of Junjou Romantica continuing the story.;Junjou Romantica Second Season, Junjyou Romantica II;純情ロマンチカ2(に)
8;Sasaki to Miyano;https://myanimelist.net/anime/44055/Sasaki_to_Miyano;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;23 min. per ep.;Finished Airing;Jan 10, 2022 to Mar 28, 2022;12;TV;Web manga;NOT_EXIST;['Otaku Culture', 'School'];NOT_EXIST;['Frontier Works', 'Movic', 'Nippon Columbia', 'Sound Team Don Juan', 'TV Aichi', 'Kadokawa Media House', 'U-NEXT', 'BS NTV', 'Kadokawa'];Studio Deen;None found, add some;['Shirai, Yuusuke', 'Saitou, Souma', 'Matsuoka, Yoshitsugu', 'Uchida, Yuuma', 'Shimazaki, Nobunaga', 'Ichiki, Mitsuhiro', 'Arai, Ryouhei', 'Ono, Yuuki', 'Nakashima, Takuya', 'Kamakura, Yuna'];[{'name': 'Kananiwa, Kozue', 'role': 'Producer'}, {'name': 'Ogata, Mitsuhiro', 'role': 'Producer'}, {'name': 'Ookubo, Akiko', 'role': 'Producer'}, {'name': 'Sotokawa, Akihiro', 'role': 'Producer'}];8.24;#304;PG-13 - Teens 13 or older;4,124;#1320;162,472;['Crunchyroll', 'Funimation', '', '', '', '', '', '', '', '', '', '', '', ''];"Yoshikazu Miyano's troubles first start one hot summer day when Shuumei Sasaki steps into his life. Sasaki saves Miyano's classmate from a group of bullies, and after that, Miyano cannot seem to shake off his eccentric upperclassman. His silent admiration for Sasaki gradually sours into annoyance each time the so-called delinquent refuses to leave him alone. Constantly being called by cute nicknames and having his boundaries ignored, Miyano wonders why Sasaki wants to get close to him.  The shy and easily flustered Miyano harbors an embarrassing secret—he is a ""fudanshi,"" a boy who likes boys' love (BL) manga. The last thing he wants is for other students to find out, but through a slip of the tongue, he reveals the truth to Sasaki. Intrigued, the clueless Sasaki asks to borrow a book to read, which he is given very reluctantly. To Miyano's surprise, Sasaki enjoys the BL that he receives and asks for more, marking a shift in their strange dynamic.  Although Sasaki appears to possess some personal agenda, his feelings for Miyano become complicated the more time they spend together. As they now share a common interest, their relationship is poised to change and further develop.  [Written by MAL Rewrite]";Sasamiya;佐々木と宮野
9;Hitorijime My Hero;https://myanimelist.net/anime/33654/Hitorijime_My_Hero;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Jul 8, 2017 to Sep 23, 2017;12;TV;Manga;['Boys Love', 'Drama', 'Romance'];NOT_EXIST;NOT_EXIST;['Sotsu', 'AT-X', 'Tokyo MX', 'Avex Pictures', 'Q-Tec', 'Docomo Anime Store', 'Marine Entertainment', 'Kanon Sound', 'Contents Seed', 'Ichijinsha', 'BS NTV'];Encourage Films;Sentai Filmworks;['Maeno, Tomoaki', 'Masuda, Toshiki', 'Tachibana, Shinnosuke', 'Matsuoka, Yoshitsugu', 'Yamashita, Daiki', 'Hatano, Wataru', 'Adachi, Yuuto', 'Kondou, Takayuki', 'Tamaru, Atsushi', 'Shirai, Yuusuke'];[{'name': 'Hiiro, Yukina', 'role': 'Director'}, {'name': 'Morishita, Hiroto', 'role': 'Sound Director'}, {'name': 'Matsuoka, Yoshitsugu', 'role': 'Theme Song Performance'}, {'name': 'Maeno, Tomoaki', 'role': 'Theme Song Performance'}];7.31;#2545;PG-13 - Teens 13 or older;1,339;#1345;158,743;['HIDIVE'];"Masahiro Setagawa is a hopeless teenager who is often used by the neighborhood bullies as an errand boy. Defenseless, Masahiro knows that nobody will ever save him. However, his life drastically changes when he meets Kousuke Ooshiba, a man known as the ""Bear Killer,"" who takes down neighborhood gangs.  A year later, Masahiro and his former friend, Kensuke Ooshiba, attend high school, only to find that Kousuke is their math teacher. While the three grow closer, Masahiro starts to view Kousuke as his ""hero,"" and Kousuke develops an urging desire to protect Masahiro. However, their normal lives take a turn when Kensuke's childhood friend, Asaya Hasekura, returns, seeing Kensuke as more than just a friend, much to his surprise. Will the three boys be able to live a regular high school life? Or will forbidden love keep them apart forever?  [Written by MAL Rewrite]";My Very Own Hero;ひとりじめマイヒーロー
