;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Shingeki no Kyojin;https://myanimelist.net/anime/16498/Shingeki_no_Kyojin;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Apr 7, 2013 to Sep 29, 2013;25;TV;Manga;['Action', 'Award Winning', 'Drama', 'Suspense'];['Gore', 'Military', 'Survival'];Shounen;['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise'];Wit Studio;Funimation;['Kaji, Yuuki', 'Ishikawa, Yui', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Ono, Daisuke', 'Park, Romi', 'Kobayashi, Yuu', 'Hosoya, Yoshimasa', 'Taniyama, Kishou', 'Shimamura, Yuu'];[{'name': 'Wada, Jouji', 'role': 'Producer'}, {'name': 'Nakatake, Tetsuya', 'role': 'Producer'}, {'name': 'Furukawa, Makoto', 'role': 'Producer'}, {'name': 'Kinoshita, Tetsuya', 'role': 'Producer'}];8.53;#110;R - 17+ (violence & profanity);161,570;#1;3,689,853;['Crunchyroll', 'Funimation', '', ''];Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.  After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.  [Written by MAL Rewrite];AoT, SnK;進撃の巨人
1;Fullmetal Alchemist: Brotherhood;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 5, 2009 to Jul 4, 2010;64;TV;Manga;['Action', 'Adventure', 'Drama', 'Fantasy'];NOT_EXIST;Shounen;['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken'];Bones;Funimation, Aniplex of America;['Park, Romi', 'Kugimiya, Rie', 'Miki, Shinichiro', 'Fujiwara, Keiji', 'Nakamura, Yuuichi', 'Orikasa, Fumiko', 'Miyano, Mamoru', 'Utsumi, Kenji', 'Takamoto, Megumi', 'Soumi, Youko'];[{'name': 'Cook, Justin', 'role': 'Producer'}, {'name': 'Yonai, Noritomo', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}, {'name': 'Irie, Yasuhiro', 'role': 'Director, Episode Director, Storyboard'}];9.11;#2;R - 17+ (violence & profanity);214,911;#3;3,122,055;['Crunchyroll', 'Funimation'];"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.  The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.  As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.  [Written by MAL Rewrite]";Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009),;鋼の錬金術師 FULLMETAL ALCHEMIST
2;Kimi no Na wa.;https://myanimelist.net/anime/32281/Kimi_no_Na_wa;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;1 hr. 46 min.;Finished Airing;Aug 26, 2016;1;Movie;Original;['Award Winning', 'Drama', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting'];CoMix Wave Films;Funimation, NYAV Post;['Kamishiraishi, Mone', 'Kamiki, Ryunosuke', 'Hanazawa, Kana', 'Nagasawa, Masami', 'Tani, Kanon', 'Narita, Ryou', 'Ichihara, Etsuko', 'Shimazaki, Nobunaga', 'Yuuki, Aoi', 'Ishikawa, Kaito'];[{'name': 'Bezerra, Wendel', 'role': 'Producer'}, {'name': 'Kawamura, Genki', 'role': 'Producer, Planning'}, {'name': 'Takei, Katsuhiro', 'role': 'Producer'}, {'name': 'Shinkai, Makoto', 'role': 'Director, Script, Storyboard, Director of Photography, Editing, Original Creator, Color Design'}];8.85;#27;PG-13 - Teens 13 or older;86,100;#11;2,552,751;['Netflix'];Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.  One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.  Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.  [Written by MAL Rewrite];NOT_EXIST;君の名は。
3;Shingeki no Kyojin Season 2;https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Apr 1, 2017 to Jun 17, 2017;12;TV;Manga;['Action', 'Drama', 'Suspense'];['Gore', 'Military', 'Survival'];Shounen;['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];Wit Studio;Funimation;['Kaji, Yuuki', 'Ishikawa, Yui', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Ono, Daisuke', 'Park, Romi', 'Kobayashi, Yuu', 'Hosoya, Yoshimasa', 'Taniyama, Kishou', 'Shimamura, Yuu'];[{'name': 'Yabuta, Shuuhei', 'role': 'Producer'}, {'name': 'Wada, Jouji', 'role': 'Producer'}, {'name': 'Nakatake, Tetsuya', 'role': 'Producer'}, {'name': 'Kinoshita, Tetsuya', 'role': 'Producer'}];8.50;#129;R - 17+ (violence & profanity);20,657;#12;2,524,505;['Crunchyroll', 'Netflix', ''];For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more.  In Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.  [Written by MAL Rewrite];NOT_EXIST;進撃の巨人 Season2
4;"Steins;Gate";https://myanimelist.net/anime/9253/Steins_Gate;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 6, 2011 to Sep 14, 2011;24;TV;Visual novel;['Drama', 'Sci-Fi', 'Suspense'];['Psychological', 'Time Travel'];NOT_EXIST;['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus'];White Fox;Funimation;['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Seki, Tomokazu', 'Tamura, Yukari', 'Kobayashi, Yuu', 'Momoi, Haruko', 'Gotou, Saori', 'Terasoma, Masaki', 'Yamamoto, Ayano'];[{'name': 'Cook, Justin', 'role': 'Producer'}, {'name': 'Iwasa, Gaku', 'role': 'Producer'}, {'name': 'Kananiwa, Kozue', 'role': 'Producer'}, {'name': 'Yasuda, Takeshi', 'role': 'Producer, Planning'}];9.08;#4;PG-13 - Teens 13 or older;180,746;#13;2,402,719;['Crunchyroll', 'Funimation', ''];"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Rintarou founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.  However, when Rintarou decides to attend neuroscientist Kurisu Makise's conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Rintarou dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.  Due to the novel discovery, Rintarou and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, he is not only fighting a battle to save his loved ones, but also one against his degrading sanity.  [Written by MAL Rewrite]";NOT_EXIST;"STEINS;GATE"
5;Shingeki no Kyojin Season 3;https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;23 min. per ep.;Finished Airing;Jul 23, 2018 to Oct 15, 2018;12;TV;Manga;['Action', 'Drama'];['Gore', 'Military', 'Survival'];Shounen;['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];Wit Studio;Funimation;['Kamiya, Hiroshi', 'Kaji, Yuuki', 'Ishikawa, Yui', 'Inoue, Marina', 'Mikami, Shiori', 'Ono, Daisuke', 'Park, Romi', 'Kobayashi, Yuu', 'Hosoya, Yoshimasa', 'Taniyama, Kishou'];[{'name': 'Wada, Jouji', 'role': 'Producer'}, {'name': 'Nakatake, Tetsuya', 'role': 'Producer'}, {'name': 'Kinoshita, Tetsuya', 'role': 'Producer'}, {'name': 'Nishiya, Yasuyuki', 'role': 'Producer'}];8.62;#77;R - 17+ (violence & profanity);19,530;#18;2,169,855;['Crunchyroll', 'Netflix', ''];"Still threatened by the ""Titans"" that rob them of their freedom, mankind remains caged inside the two remaining walls. Efforts to eradicate these monsters continue; however, threats arise not only from the Titans beyond the walls, but from the humans within them as well.  After being rescued from the Colossal and Armored Titans, Eren Yaeger devotes himself to improving his Titan form. Krista Lenz struggles to accept the loss of her friend, Captain Levi chooses Eren and his friends to form his new personal squad, and Commander Erwin Smith recovers from his injuries. All seems well for the soldiers, until the government suddenly demands custody of Eren and Krista. The Survey Corps' recent successes have drawn attention, and a familiar face from Levi's past is sent to collect the wanted soldiers. Sought after by the government, Levi and his new squad must evade their adversaries in hopes of keeping Eren and Krista safe.  Eren and his fellow soldiers are not only fighting for their survival against the terrifying Titans, but also against the terror of a far more conniving foe: their fellow humans.  [Written by MAL Rewrite]";NOT_EXIST;進撃の巨人 Season3
6;Koe no Katachi;https://myanimelist.net/anime/28851/Koe_no_Katachi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;2 hr. 10 min.;Finished Airing;Sep 17, 2016;1;Movie;Manga;['Award Winning', 'Drama'];NOT_EXIST;Shounen;['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras'];Kyoto Animation;Eleven Arts, NYAV Post;['Hayami, Saori', 'Irino, Miyu', 'Yuuki, Aoi', 'Kaneko, Yuuki', 'Ono, Kensho', 'Kamata, Erena', 'Watanuki, Ryuunosuke', 'Yukino, Satsuki', 'Ishikawa, Yui', 'Toyonaga, Toshiyuki'];[{'name': 'Nakamura, Shinichi', 'role': 'Producer'}, {'name': 'Tateishi, Kensuke', 'role': 'Producer'}, {'name': 'Iizuka, Toshio', 'role': 'Producer'}, {'name': 'Senami, Riri', 'role': 'Assistant Producer'}];8.94;#18;PG-13 - Teens 13 or older;82,095;#19;2,153,673;['Netflix'];As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.  Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.  Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.  [Written by MAL Rewrite];The Shape of Voice;聲の形
7;Code Geass: Hangyaku no Lelouch;https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Oct 6, 2006 to Jul 29, 2007;25;TV;Original;['Action', 'Award Winning', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'School', 'Super Power'];NOT_EXIST;['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];Sunrise;Funimation, Bandai Entertainment;['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Minami, Omi', 'Minagawa, Junko', 'Nazuka, Kaori'];[{'name': 'Maseba, Yutaka', 'role': 'Producer'}, {'name': 'Taniguchi, Gorou', 'role': 'Director, Storyboard, Original Creator'}, {'name': 'Urakami, Yasuo', 'role': 'Sound Director'}, {'name': 'Izawa, Motoi', 'role': 'Sound Director'}];8.70;#53;R - 17+ (violence & profanity);104,254;#20;2,124,729;['Crunchyroll', 'Funimation', ''];"In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence.  Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all.  [Written by MAL Rewrite]";NOT_EXIST;コードギアス 反逆のルルーシュ
8;Toradora!;https://myanimelist.net/anime/4224/Toradora;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;23 min. per ep.;Finished Airing;Oct 2, 2008 to Mar 26, 2009;25;TV;Light novel;['Drama', 'Romance'];['Love Polygon', 'School'];NOT_EXIST;['Genco', 'Starchild Records', 'Magic Capsule', 'Yomiuri Advertising', 'TV Tokyo Music'];J.C.Staff;NIS America, Inc.;['Kugimiya, Rie', 'Majima, Junji', 'Horie, Yui', 'Kitamura, Eri', 'Nojima, Hirofumi', 'Gotou, Saori', 'Ohara, Sayaka', 'Kaida, Yuuko', 'Yoshino, Hiroyuki', 'Tanaka, Rie'];[{'name': 'Kasai, Kenichi', 'role': 'Producer, Storyboard'}, {'name': 'Yamanaka, Takahiro', 'role': 'Producer'}, {'name': 'Matsukura, Yuuji', 'role': 'Producer'}, {'name': 'Kanbe, Muneyuki', 'role': 'Producer'}];8.09;#468;PG-13 - Teens 13 or older;55,289;#22;2,097,485;['Crunchyroll', 'Funimation', ''];"Ryuuji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student, who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger.""  One day, an embarrassing mistake causes the two students to cross paths. Ryuuji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, Yuusaku Kitamura, who happens to be his best friend. But things only get crazier when Ryuuji reveals that he has a crush on Minori Kushieda—Taiga's best friend!  Toradora! is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process.  [Written by MAL Rewrite]";Tiger X Dragon;とらドラ！
9;Shigatsu wa Kimi no Uso;https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;22 min. per ep.;Finished Airing;Oct 10, 2014 to Mar 20, 2015;22;TV;Manga;['Drama', 'Romance'];['Music', 'School'];Shounen;['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting'];A-1 Pictures;Aniplex of America;['Taneda, Risa', 'Hanae, Natsuki', 'Sakura, Ayane', 'Oosaka, Ryouta', 'Hayami, Saori', 'Minase, Inori', 'Sonozaki, Mie', 'Kayano, Ai', 'Kaji, Yuuki', 'Ishigami, Shizuka'];[{'name': 'Saitou, Shunsuke', 'role': 'Producer'}, {'name': 'Fukushima, Yuuichi', 'role': 'Producer'}, {'name': 'Kimura, Makoto', 'role': 'Producer'}, {'name': 'Tateishi, Kensuke', 'role': 'Producer'}];8.65;#67;PG-13 - Teens 13 or older;82,590;#23;2,080,196;['Crunchyroll', 'Funimation', ''];"Kousei Arima is a child prodigy known as the ""Human Metronome"" for playing the piano with precision and perfection. Guided by a strict mother and rigorous training, Kousei dominates every competition he enters, earning the admiration of his musical peers and praise from audiences. When his mother suddenly passes away, the subsequent trauma makes him unable to hear the sound of a piano, and he never takes the stage thereafter.  Nowadays, Kousei lives a quiet and unassuming life as a junior high school student alongside his friends Tsubaki Sawabe and Ryouta Watari. While struggling to get over his mother's death, he continues to cling to music. His monochrome life turns upside down the day he encounters the eccentric violinist Kaori Miyazono, who thrusts him back into the spotlight as her accompanist. Through a little lie, these two young musicians grow closer together as Kaori tries to fill Kousei's world with color.  [Written by MAL Rewrite]";Kimiuso;四月は君の嘘
