;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;theme;demographic;duration;rating;score;ranked;popularity;members;favorites;themes;platforms;synopsis
0;Fullmetal Alchemist: Brotherhood;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009),;鋼の錬金術師 FULLMETAL ALCHEMIST;TV;64;Finished Airing;Apr 5, 2009 to Jul 4, 2010;Spring 2009;Sundays at 17:00 (JST);['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken'];Funimation, Aniplex of America;Bones;Manga;['Action', 'Adventure', 'Drama', 'Fantasy'];Military;Shounen;24 min. per ep.;R - 17+ (violence & profanity);9.11;#2;#3;3,106,077;214,150;;['Crunchyroll', 'Funimation'];"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.  The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.  As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.  [Written by MAL Rewrite]"
1;Sword Art Online;https://myanimelist.net/anime/11757/Sword_Art_Online;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;S.A.O, SAO;ソードアート・オンライン;TV;25;Finished Airing;Jul 8, 2012 to Dec 23, 2012;Summer 2012;Sundays at 00:00 (JST);['Aniplex', 'Genco', 'DAX Production', 'ASCII Media Works', 'Bandai Namco Games'];Aniplex of America;A-1 Pictures;Light novel;['Action', 'Adventure', 'Fantasy', 'Romance'];;;23 min. per ep.;PG-13 - Teens 13 or older;7.20;#3088;#5;2,906,267;66,341;['Love Polygon', 'Video Game'];['Crunchyroll', 'Funimation', ''];"Ever since the release of the innovative NerveGear, gamers from all around the globe have been given the opportunity to experience a completely immersive virtual reality. Sword Art Online (SAO), one of the most recent games on the console, offers a gateway into the wondrous world of Aincrad, a vivid, medieval landscape where users can do anything within the limits of imagination. With the release of this worldwide sensation, gaming has never felt more lifelike.  However, the idyllic fantasy rapidly becomes a brutal nightmare when SAO's creator traps thousands of players inside the game. The ""log-out"" function has been removed, with the only method of escape involving beating all of Aincrad's one hundred increasingly difficult levels. Adding to the struggle, any in-game death becomes permanent, ending the player's life in the real world.  While Kazuto ""Kirito"" Kirigaya was fortunate enough to be a beta-tester for the game, he quickly finds that despite his advantages, he cannot overcome SAO's challenges alone. Teaming up with Asuna Yuuki and other talented players, Kirito makes an effort to face the seemingly insurmountable trials head-on. But with difficult bosses and threatening dark cults impeding his progress, Kirito finds that such tasks are much easier said than done.  [Written by MAL Rewrite]"
2;Kimetsu no Yaiba;https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;Blade of Demon Destruction;鬼滅の刃;TV;26;Finished Airing;Apr 6, 2019 to Sep 28, 2019;Spring 2019;Saturdays at 23:30 (JST);['Aniplex', 'Shueisha'];Aniplex of America;ufotable;Manga;['Action', 'Award Winning', 'Fantasy'];Historical;Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.52;#120;#7;2,717,776;86,192;;['Crunchyroll', 'Funimation', ''];Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.  When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.  [Written by MAL Rewrite]
3;Naruto;https://myanimelist.net/anime/20/Naruto;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;NARUTO;ナルト;TV;220;Finished Airing;Oct 3, 2002 to Feb 8, 2007;Fall 2002;Thursdays at 19:30 (JST);['TV Tokyo', 'Aniplex', 'Shueisha'];VIZ Media;Pierrot;Manga;['Action', 'Adventure', 'Fantasy'];Martial Arts;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;7.98;#603;#8;2,665,412;74,905;;['Crunchyroll', 'Funimation', ''];Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto.  Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes.  [Written by MAL Rewrite]
4;Tokyo Ghoul;https://myanimelist.net/anime/22319/Tokyo_Ghoul;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;Tokyo Kushu, Toukyou Kushu, Toukyou Ghoul;東京喰種-トーキョーグール-;TV;12;Finished Airing;Jul 4, 2014 to Sep 19, 2014;Summer 2014;Fridays at 00:00 (JST);['Marvelous AQL', 'TC Entertainment', 'Shueisha'];Funimation;Pierrot;Manga;['Action', 'Fantasy', 'Horror'];;Seinen;24 min. per ep.;R - 17+ (violence & profanity);7.79;#943;#9;2,652,659;48,572;['Gore', 'Psychological'];['Crunchyroll', 'Funimation', '', ''];"A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date.  While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body.  Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them.  [Written by MAL Rewrite]"
5;Hunter x Hunter (2011);https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;HxH (2011);HUNTER×HUNTER（ハンター×ハンター）;TV;148;Finished Airing;Oct 2, 2011 to Sep 24, 2014;Fall 2011;Sundays at 10:55 (JST);['VAP', 'Nippon Television Network', 'Shueisha'];VIZ Media;Madhouse;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;9.04;#10;#10;2,592,839;196,404;;['Crunchyroll', 'Netflix', ''];Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.  Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.  During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.  [Written by MAL Rewrite]
6;Naruto: Shippuuden;https://myanimelist.net/anime/1735/Naruto__Shippuuden;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;Naruto Hurricane Chronicles;-ナルト- 疾風伝;TV;500;Finished Airing;Feb 15, 2007 to Mar 23, 2017;Winter 2007;Thursdays at 19:30 (JST);['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha'];VIZ Media;Pierrot;Manga;['Action', 'Adventure', 'Fantasy'];Martial Arts;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.25;#293;#15;2,297,480;105,468;;['Crunchyroll', 'Netflix'];It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.  Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.  [Written by MAL Rewrite]
7;No Game No Life;https://myanimelist.net/anime/19815/No_Game_No_Life;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;NGNL;ノーゲーム・ノーライフ;TV;12;Finished Airing;Apr 9, 2014 to Jun 25, 2014;Spring 2014;Wednesdays at 21:30 (JST);['Frontier Works', 'Media Factory', 'Movic', 'AT-X'];Sentai Filmworks;Madhouse;Light novel;['Comedy', 'Fantasy', 'Ecchi'];;;23 min. per ep.;PG-13 - Teens 13 or older;8.09;#475;#16;2,270,716;47,145;['Isekai', 'Strategy Game'];['HIDIVE', 'Netflix'];"Sixteen sentient races inhabit Disboard, a world overseen by Tet, the One True God. The lowest of the sixteen—Imanity—consists of humans, a race with no affinity for magic. In a place where everything is decided through simple games, humankind seems to have no way out of their predicament—but the arrival of two outsiders poses a change.  On Earth, stepsiblings Sora and Shiro are two inseparable shut-ins who dominate various online games under the username ""Blank."" While notorious on the internet, the pair believe that life is merely another dull game. However, after responding to a message from an unknown user, they are suddenly transported to Disboard. The mysterious sender turns out to be Tet, who informs them about the world's absolute rules. After Tet leaves, Sora and Shiro begin their search for more information and a place to stay, taking them to Elkia—Imanity's only remaining kingdom.  There, the duo encounters Stephanie Dola, an emotional girl vying for the kingdom's sovereignty. In desperation, she attempts to regain her father's throne, but her foolhardiness makes her goal unachievable. Inspired by the girl's motivation and passion, Sora and Shiro decide to aid Stephanie in getting Elkia back on its feet, ultimately aiming to become the new rulers of the enigmatic realm.  [Written by MAL Rewrite]"
8;Jujutsu Kaisen;https://myanimelist.net/anime/40748/Jujutsu_Kaisen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;Sorcery Fight, JJK;呪術廻戦;TV;24;Finished Airing;Oct 3, 2020 to Mar 27, 2021;Fall 2020;Saturdays at 01:25 (JST);['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap'];VIZ Media;MAPPA;Manga;['Action', 'Award Winning', 'Fantasy'];School;Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.65;#66;#17;2,166,951;79,059;;['Crunchyroll', 'Funimation', ''];"Idly indulging in baseless paranormal activities with the Occult Club, high schooler Yuuji Itadori spends his days at either the clubroom or the hospital, where he visits his bedridden grandfather. However, this leisurely lifestyle soon takes a turn for the strange when he unknowingly encounters a cursed item. Triggering a chain of supernatural occurrences, Yuuji finds himself suddenly thrust into the world of Curses—dreadful beings formed from human malice and negativity—after swallowing the said item, revealed to be a finger belonging to the demon Sukuna Ryoumen, the ""King of Curses.""  Yuuji experiences first-hand the threat these Curses pose to society as he discovers his own newfound powers. Introduced to the Tokyo Metropolitan Jujutsu Technical High School, he begins to walk down a path from which he cannot return—the path of a Jujutsu sorcerer.  [Written by MAL Rewrite]"
9;One Piece;https://myanimelist.net/anime/21/One_Piece;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230306213153_20230308_ichibankuji_survey.png;OP;ONE PIECE;TV;Unknown;Currently Airing;Oct 20, 1999 to ?;Fall 1999;Sundays at 09:30 (JST);['Fuji TV', 'TAP', 'Shueisha'];Funimation, 4Kids Entertainment;Toei Animation;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min.;PG-13 - Teens 13 or older;8.68;#57;#21;2,107,616;191,685;;['Crunchyroll', 'Funimation', '', ''];"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.  Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.  [Written by MAL Rewrite]"
