;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Citrus;https://myanimelist.net/anime/34382/Citrus;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Jan 6, 2018 to Mar 24, 2018;12;TV;Manga;['Drama', 'Girls Love', 'Romance'];NOT_EXIST;NOT_EXIST;"['Sotsu', 'Lantis', 'AT-X', 'KlockWorx', 'Happinet Pictures', 'BS Fuji', 'Tokyo MX', 'Infinite', ""Children's Playground Entertainment"", 'Ichijinsha', 'Crunchyroll SC Anime Fund']";Passione;Funimation;['Taketatsu, Ayana', 'Tsuda, Minami', 'Fujii, Yukiyo', 'Izawa, Shiori', 'Kanemoto, Hisako', 'Kubo, Yurika', 'Matsuzaki, Rei', 'Ueda, Kana', 'Maeno, Tomoaki', 'Hayama, Ikumi'];[{'name': 'Nagatani, Takayuki', 'role': 'Producer'}, {'name': 'Ozawa, Fumihiro', 'role': 'Producer'}, {'name': 'Isogai, Noritomo', 'role': 'Producer'}, {'name': 'Kaneko, Hirotaka', 'role': 'Producer'}];6.46;#6928;PG-13 - Teens 13 or older;3,705;#407;489,014;['Crunchyroll', 'Funimation', ''];During the summer of her freshman year of high school, Yuzu Aihara's mother remarried, forcing her to transfer to a new school. To a fashionable socialite like Yuzu, this inconvenient event is just another opportunity to make new friends, fall in love, and finally experience a first kiss. Unfortunately, Yuzu's dreams and style do not conform with her new ultrastrict, all-girls school, filled with obedient shut-ins and overachieving grade-skippers. Her gaudy appearance manages to grab the attention of Mei Aihara, the beautiful and imposing student council president, who immediately proceeds to sensually caress Yuzu's body in an effort to confiscate her cellphone.  Thoroughly exhausted from her first day, Yuzu arrives home and discovers a shocking truth—Mei is actually her new step-sister! Though Yuzu initially tries to be friendly with her, Mei's cold shoulder routine forces Yuzu to begin teasing her. But before Yuzu can finish her sentence, Mei forces her to the ground and kisses her, with Yuzu desperately trying to break free. Once done, Mei storms out of the room, leaving Yuzu to ponder the true nature of her first kiss, and the secrets behind the tortured expression in the eyes of her new sister.  [Written by MAL Rewrite];NOT_EXIST;シトラス
1;Yuru Yuri;https://myanimelist.net/anime/10495/Yuru_Yuri;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;23 min. per ep.;Finished Airing;Jul 5, 2011 to Sep 20, 2011;12;TV;Manga;['Award Winning', 'Comedy', 'Girls Love'];['CGDCT', 'Gag Humor', 'School'];NOT_EXIST;['TV Tokyo', 'Daume', 'Sotsu', 'Pony Canyon', 'DAX Production', 'Studio Gram', 'PRA', 'Jumondo'];Doga Kobo;NIS America, Inc.;['Ootsubo, Yuka', 'Mikami, Shiori', 'Tsuda, Minami', 'Ookubo, Rumi', 'Fujita, Saki', 'Katou, Emiri', 'Toyosaki, Aki', 'Mimori, Suzuko', 'Gotou, Saori', 'Uchida, Maaya'];[{'name': 'Yoshizawa, Takashi', 'role': 'Producer'}, {'name': 'Oono, Ryousuke', 'role': 'Producer'}, {'name': 'Oota, Masahiko', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Ebina, Yasunori', 'role': 'Sound Director'}];7.57;#1481;PG-13 - Teens 13 or older;4,416;#652;327,221;['Crunchyroll', 'Funimation'];"After a year in grade school without her childhood friends, first year student Akari Akaza is finally reunited with second years Yui Funami and Kyouko Toshinou at their all-girls' middle school. During the duo's first year, Yui and Kyouko formed the ""Amusement Club"" which occupies the now nonexistent Tea Club's room. Shortly after Akari joins, one of her fellow classmates, Chinatsu Yoshikawa, pays the trio a visit under the impression that they are the Tea Club; it is only once the three girls explain that the Tea Club has been disbanded that they can convince Chinatsu to join the Amusement Club—a group with no purpose other than to provide entertainment for its members.  Based on the slice-of-life manga by Namori, Yuru Yuri is an eccentric comedy about a group of girls who spend their spare time drinking tea and fawning over each other, all while completely failing to even notice the supposed main character Akari amongst them.  [Written by MAL Rewrite]";YRYR, Yuruyuri;ゆるゆり
2;Yagate Kimi ni Naru;https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Oct 5, 2018 to Dec 28, 2018;13;TV;Manga;['Drama', 'Girls Love', 'Romance'];NOT_EXIST;NOT_EXIST;['AT-X', 'Sony Music Communications', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa'];TROYCA;Sentai Filmworks;['Takada, Yuuki', 'Kotobuki, Minako', 'Kayano, Ai', 'Ichikawa, Taichi', 'Kohara, Konomi', 'Mori, Nanako', 'Komatsu, Mikako', 'Nakahara, Mai', 'Nogami, Shou', 'Terasaki, Yuka'];[{'name': 'Ogata, Mitsuhiro', 'role': 'Producer'}, {'name': 'Isogai, Noritomo', 'role': 'Producer'}, {'name': 'Katou, Makoto', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}];7.90;#741;PG-13 - Teens 13 or older;5,841;#690;314,792;['HIDIVE', 'Netflix'];Yuu Koito has always been entranced with romantic shoujo manga and the lyrics of love songs. She patiently waits for the wings of love to sprout and send her heart aflutter on the day that she finally receives a confession. Yet, when her classmate from junior high declares his love for her during their graduation, she feels unexpectedly hollow. The realization hits her: she understands romance as a concept, but she is incapable of experiencing the feeling first-hand.  Now, having enrolled in high school, Yuu, disconcerted and dispirited, is still ruminating over how to respond to her suitor. There, she happens upon the seemingly flawless student council president, Touko Nanami, maturely rejecting a confession of her own. Stirred by Touko's elegant manner, Yuu approaches her for advice, only to be bewildered when the president confesses to her! Yuu quickly finds herself in the palm of Touko's hand, and unknowingly sets herself on a path to find the emotion which has long eluded her.  [Written by MAL Rewrite];YagaKimi, Eventually, I Will Become You;やがて君になる
3;Happy Sugar Life;https://myanimelist.net/anime/37517/Happy_Sugar_Life;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Jul 14, 2018 to Sep 29, 2018;12;TV;Manga;['Drama', 'Girls Love', 'Horror'];NOT_EXIST;Shounen;['VAP', 'Square Enix', 'Genco', 'Mainichi Broadcasting System', 'Bit Promotion'];Ezόla;None found, add some;['Hanazawa, Kana', 'Kuno, Misaki', 'Suzaki, Aya', 'Hanamori, Yumiri', 'Hanae, Natsuki', 'Inoue, Kikuko', 'Ishikawa, Kaito', 'Anzai, Yukari', 'Takeda Tago, Larissa', 'Kouri, Arisa'];[{'name': 'Eriguchi, Takeshi', 'role': 'Producer'}, {'name': 'Kusakawa, Keizou', 'role': 'Director'}, {'name': 'Nagayama, Nobuyoshi', 'role': 'Director'}, {'name': 'Tateishi, Yayoi', 'role': 'Sound Director'}];6.79;#5069;R - 17+ (violence & profanity);2,587;#782;280,819;[];"Satou Matsuzaka is a beautiful high schooler who has a reputation for being permissive with men. However, a chance encounter with a young girl named Shio Koube makes Satou realize that this is her first and only true feeling of love.  Telling others that she lives with her aunt, Satou secretly shares an apartment with Shio. Despite her innocent appearance, Satou is willing to do anything to protect her beloved, resorting to desperate measures to ensure that their ""happy sugar life"" remains intact.  [Written by MAL Rewrite]";White Sugar Garden, Black Salt Cage;ハッピーシュガーライフ
4;Kämpfer;https://myanimelist.net/anime/6205/K%C3%A4mpfer;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Oct 2, 2009 to Dec 18, 2009;12;TV;Light novel;['Action', 'Comedy', 'Girls Love', 'Romance', 'Ecchi'];['Magical Sex Shift', 'School', 'Super Power'];NOT_EXIST;['TBS', 'RAY'];Nomad;Sentai Filmworks;['Nazuka, Kaori', 'Inoue, Marina', 'Horie, Yui', 'Nakajima, Megumi', 'Asumi, Kana', 'Nomura, Michiko', 'Tamura, Yukari', 'Mizuki, Nana', 'Kobayashi, Yuuki', 'Aranami, Kazusa'];[{'name': 'Kurita, Akihiro', 'role': 'Producer'}, {'name': 'Kuroda, Yasuhiro', 'role': 'Director'}, {'name': 'Ebina, Yasunori', 'role': 'Sound Director'}, {'name': 'Yamazaki, Mitsue', 'role': 'Episode Director, Storyboard'}];6.38;#7433;PG-13 - Teens 13 or older;788;#791;278,690;['HIDIVE'];"Waking up transformed into a beautiful girl might be the stuff of some guys' fantasies, but when the suddenly effeminatized Natsuru is informed by a stuffed tiger that he's now a Kampfer, a mystical fighter who has to fight other Kampfers in female form, his life becomes a living nightmare!  Putting aside the obvious ""plumbing"" issues, Natsuru's best childhood friend turns out to swing the other way and SHE has a crush on his new female body. Not complex enough? Natsuru's school has separate sections for boys and girls, so he and she are now double enrolled. The rumor-mill has it that he's dating herself. And there are other Kampfers attending the school who want to take her out, and he's not sure which ones mean ""on a date"" and which ones mean ""permanently."" Oh, and did we mention that some Kampfers use swords and guns?! Hormones, fists, and other body parts will fly as the daring, new gender-bender defender must become a contender or die!  (Source: Sentai Filmworks)";Kampfer, Kaempfer;けんぷファー
5;Akuma no Riddle;https://myanimelist.net/anime/19429/Akuma_no_Riddle;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Apr 4, 2014 to Jun 20, 2014;12;TV;Manga;['Action', 'Girls Love'];NOT_EXIST;NOT_EXIST;['Mainichi Broadcasting System', 'Pony Canyon', 'DAX Production'];Diomedéa;Funimation;['Suwa, Ayaka', 'Kanemoto, Hisako', 'Nanjou, Yoshino', 'Uchimura, Fumiko', 'Ootsubo, Yuka', 'Asakura, Azumi', 'Numakura, Manami', 'Arakawa, Miho', 'Misawa, Sachika', 'Uchida, Mami'];[{'name': 'Aitani, Atsushi', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Producer'}, {'name': 'Kusakawa, Keizou', 'role': 'Director'}, {'name': 'Iwanami, Yoshikazu', 'role': 'Sound Director'}];6.60;#6044;R - 17+ (violence & profanity);1,019;#840;259,403;['Funimation'];"Tokaku Azuma has just transferred to the elite Myoujou Academy, a private girls' boarding school. But there's a catch: she, along with 11 of her fellow students in Class Black, is an assassin taking part in the challenge to kill their sweet-natured classmate, Haru Ichinose. Whoever succeeds will be granted their deepest desire, no matter the difficulty or cost. However, each assassin only gets one chance; if they fail to kill her, they will be expelled.  Despite the extraordinary reward, Tokaku decides to take a different course of action. Though Haru is her target, the young assassin soon finds herself drawn to the very girl she is supposed to kill. With the entire class out for Haru, Tokaku refuses to let her friend die, vowing to protect her from a growing bloodlust.  [Written by MAL Rewrite]";Akuma no Riddle;悪魔のリドル
6;Sakura Trick;https://myanimelist.net/anime/20047/Sakura_Trick;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Jan 10, 2014 to Mar 28, 2014;12;TV;4-koma manga;['Comedy', 'Girls Love', 'Romance'];NOT_EXIST;Seinen;['Pony Canyon', 'TBS'];Studio Deen;Sentai Filmworks;['Tomatsu, Haruka', 'Iguchi, Yuka', 'Toda, Megumi', 'Fuchigami, Mai', 'Aisaka, Yuuka', 'Igarashi, Hiromi', 'Fujita, Saki', 'Asakura, Momo', 'Endou, Yurika', 'Hanamori, Yumiri'];[{'name': 'Tanaka, Junichirou', 'role': 'Producer'}, {'name': 'Takatori, Masashi', 'role': 'Producer'}, {'name': 'Ishikura, Kenichi', 'role': 'Director, Episode Director, Storyboard, Series Composition'}, {'name': 'Ishigura, Kenichi', 'role': 'Director, Series Composition'}];6.96;#4273;PG-13 - Teens 13 or older;1,500;#867;252,671;['HIDIVE'];"Having been best friends since middle school, Haruka Takayama and Yuu Sonoda plan to attend Misato West High School together. However, despite being assigned to the same class, a cruel twist of fate has them seated on the opposite ends of their classroom! To make matters worse, their school will shut down in three years, making them the final intake of first-year students. Undeterred by this chain of unfortunate events, Haruka is set on sticking with Yuu, striving to create many wonderful memories with her.  Much to Haruka's jealousy however, Yuu's easygoing demeanor quickly attracts the attention of their female classmates. Sympathizing with her friend's growing insecurity, Yuu ends up sharing a deep, affectionate kiss with her in an empty classroom. The act intensifies their bond as ""special friends,"" gradually revealing a different aspect to their unique friendship while also inviting new conflicts.  [Written by MAL Rewrite]";NOT_EXIST;桜Trick
7;Watashi ni Tenshi ga Maiorita!;https://myanimelist.net/anime/37993/Watashi_ni_Tenshi_ga_Maiorita;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;23 min. per ep.;Finished Airing;Jan 8, 2019 to Mar 26, 2019;12;TV;4-koma manga;['Comedy', 'Girls Love'];['CGDCT', 'Otaku Culture'];NOT_EXIST;['AT-X', 'flying DOG', 'Sony Music Communications', 'Kadokawa Media House', 'Ichijinsha', 'Kadokawa'];Doga Kobo;None found, add some;['Ueda, Reina', 'Nagae, Rika', 'Kitou, Akari', 'Sashide, Maria', 'Oozora, Naomi', 'Kino, Hina', 'Lynn', 'Oowada, Hitomi', 'Koshimizu, Ami', 'Toyosaki, Aki'];[{'name': 'Isogai, Noritomo', 'role': 'Producer'}, {'name': 'Itou, Shousei', 'role': 'Producer'}, {'name': 'Hiramaki, Daisuke', 'role': 'Director, Episode Director'}, {'name': 'Takadera, Takeshi', 'role': 'Sound Director'}];7.29;#2632;PG-13 - Teens 13 or older;933;#1130;190,984;['Crunchyroll'];College student Miyako Hoshino is quite shy around other people. She mostly spends her time in her room making cosplay outfits. When her fifth-grade sister Hinata brings her classmate Hana Shirosaki home, Miyako instantly becomes captivated with Hana's cuteness.  Miyako tries to do various things, ranging from making Hana wear cosplay dresses to giving her sweets. This gives Hana a bad impression of her at first, but Miyako will do anything to grow closer to the angel who has descended before her.  [Written by MAL Rewrite];Wataten;私に天使が舞い降りた！
8;Yuru Yuri♪♪;https://myanimelist.net/anime/12403/Yuru_Yuri%E2%99%AA%E2%99%AA;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;23 min. per ep.;Finished Airing;Jul 3, 2012 to Sep 18, 2012;12;TV;Manga;['Comedy', 'Girls Love'];['CGDCT', 'Gag Humor', 'School'];NOT_EXIST;['Sotsu', 'Pony Canyon', 'DAX Production'];Doga Kobo;NIS America, Inc.;['Ootsubo, Yuka', 'Mikami, Shiori', 'Tsuda, Minami', 'Ookubo, Rumi', 'Fujita, Saki', 'Katou, Emiri', 'Toyosaki, Aki', 'Mimori, Suzuko', 'Gotou, Saori', 'Horie, Yui'];[{'name': 'Yoshizawa, Takashi', 'role': 'Producer'}, {'name': 'Oono, Ryousuke', 'role': 'Producer'}, {'name': 'Oota, Masahiko', 'role': 'Director, Script, Storyboard'}, {'name': 'Ebina, Yasunori', 'role': 'Sound Director'}];7.82;#878;PG-13 - Teens 13 or older;936;#1204;178,880;['Crunchyroll', 'Funimation'];"The girls of the Amusement Club return in Yuru Yuri♪♪, finding new ways to make passing time even more enjoyable. Their members consist of the always energetic Kyouko Toshinou; calm and sensible Yui Funami; polite but often overlooked Akari Akaza; and Chinatsu Yoshikawa, who stumbled upon the others while looking for the Tea Ceremony Club. Together they are the Amusement Club, which has the deceptively simple task of keeping its members entertained.  Along with the Student Council and the odd family member, they strive to enjoy their youth to the fullest. Whether it's a trip to a hot spring or finishing overdue homework, their lives are never dull, and they will always find an excuse to spend time together.  [Written by MAL Rewrite]";Yuru Yuri S2;ゆるゆり♪♪
9;Mnemosyne: Mnemosyne no Musume-tachi;https://myanimelist.net/anime/3342/Mnemosyne__Mnemosyne_no_Musume-tachi;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;45 min. per ep.;Finished Airing;Feb 4, 2008 to Jul 7, 2008;6;TV;Original;['Action', 'Girls Love', 'Horror', 'Sci-Fi', 'Supernatural'];NOT_EXIST;NOT_EXIST;['VAP', 'Sotsu', 'Genco', 'AT-X', 'Showgate'];Xebec;Funimation;['Noto, Mamiko', 'Kugimiya, Rie', 'Ishida, Akira', 'Ohara, Sayaka', 'Hiyama, Nobuyuki', 'Tanaka, Rie', 'Tanaka, Masahiko', 'Nazuka, Kaori', 'Nabatame, Hitomi'];[{'name': 'Bevins, Christopher', 'role': 'Producer, ADR Director'}, {'name': 'Oosawa, Nobuhiro', 'role': 'Producer'}, {'name': 'Chino, Takatoshi', 'role': 'Producer'}, {'name': 'Ueda, Shigeru', 'role': 'Director'}];7.27;#2731;R+ - Mild Nudity;1,102;#1213;177,933;['Funimation'];Immortality is something many people would wish for. But would it be such a coveted ability if people knew they would be subject to countless attacks because of it? Such is the case for Rin Asougi, an immortal private investigator, because there is no shortage of people who want her dead. Over the centuries, she has met many grisly ends, but each time, she returns to life as if nothing had happened.  In 1990, while looking for a lost cat, Rin runs into Kouki Maeno, a man who feels that his memories are wrong. Agreeing to help him, Rin discovers that Kouki is not what he seems, all the while drawing closer to her true enemy. This adversary knows Rin and her kind all too well, and if she dies by his hand, she may stay dead permanently.  [Written by MAL Rewrite];Mnemosyne: Daughters of Mnemosyne;Mnemosyne－ムネモシュネの娘たち－
