;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Shokugeki no Souma;https://myanimelist.net/anime/28171/Shokugeki_no_Souma;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;25 min. per ep.;Finished Airing;Apr 4, 2015 to Sep 26, 2015;24;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['Dentsu', 'Frontier Works', 'Mainichi Broadcasting System', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Shueisha', 'I Will'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Taneda, Risa', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki', 'Suwabe, Junichi'];[{'name': 'Matsukura, Yuuji', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}, {'name': 'Shiji, Yuuichirou', 'role': 'Assistant Producer'}, {'name': 'Yonetani, Yoshitomo', 'role': 'Director, Episode Director, Storyboard'}];8.16;#398;PG-13 - Teens 13 or older;23,377;#57;1,567,645;['HIDIVE', 'Netflix', ''];"Souma Yukihira has been cooking alongside his father Jouichirou for as long as he can remember. As a sous chef at his father's restaurant, he has spent years developing his culinary expertise and inventing new dishes to amaze their customers. He aspires to exceed his father's skill and take over the restaurant one day, but he is shocked to learn that Jouichirou is closing up the shop to take a job in New York.  Rather than tagging along with his father, Souma finds himself enrolling at the prestigious Tootsuki Culinary Academy, where only 10 percent of its students end up graduating. The school is famous for its ""Shokugeki""—intense cooking competitions between students often used to settle debates and arguments. Jouichirou tells Souma that to surpass him and survive the next three years at Tootsuki and graduate there.  The academy's brutal curriculum and fiercely competitive student body await the young chef, who must learn to navigate the treacherous environment if he wants to stand a chance at realizing his dreams. But is skill alone enough to let him rise to the top?  [Written by MAL Rewrite]";Shokugeki no Soma, Food Wars: Shokugeki no Soma;食戟のソーマ
1;Shokugeki no Souma: Ni no Sara;https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Jul 2, 2016 to Sep 24, 2016;13;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['Dentsu', 'Lantis', 'Mainichi Broadcasting System', 'KlockWorx', 'Showgate', 'Shueisha'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Taneda, Risa', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki', 'Suwabe, Junichi'];[{'name': 'Matsukura, Yuuji', 'role': 'Producer'}, {'name': 'Kamei, Hiroshi', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}, {'name': 'Fujio, Akifumi', 'role': 'Producer'}];8.09;#475;PG-13 - Teens 13 or older;3,048;#124;1,083,910;['HIDIVE', 'Netflix', ''];The qualifiers of the Autumn Elections are now over, and only eight talented chefs remain. Now, they face off in one-on-one food wars, each with their own unique themes. Met with both new judges and new opponents all with their own specialties, Souma must stay on his toes if he hopes to make it to the top of both the Autumn Elections and Tootsuki Culinary Academy.  [Written by MAL Rewrite];Shokugeki no Souma 2nd Season, Shokugeki no Soma 2, Food Wars: Shokugeki no Soma 2, Shokugeki no Soma: The Second Plate;食戟のソーマ 弍ノ皿
2;Shokugeki no Souma: San no Sara;https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Oct 4, 2017 to Dec 20, 2017;12;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['Lantis', 'Warner Bros. Japan', 'KlockWorx', 'Shueisha'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Kanemoto, Hisako', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Itou, Shizuka', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki'];[{'name': 'Matsukura, Yuuji', 'role': 'Producer'}, {'name': 'Yonetani, Yoshitomo', 'role': 'Director, Storyboard'}, {'name': 'Sokuza, Makoto', 'role': 'Episode Director'}, {'name': 'Miura, Kazuya', 'role': 'Episode Director'}];8.01;#575;PG-13 - Teens 13 or older;2,627;#156;925,037;['Crunchyroll', 'Netflix', ''];"The Moon Festival is Tootsuki Academy's annual gourmet gala, where students compete against each other to earn the most profit through selling their cuisine of choice. But for Souma Yukihira, it is also his first opportunity to challenge the Elite Ten, the supreme council that rules over the academy.  However, this is only the beginning of Souma's war against the Elite Ten; a nefarious plot is underway that will provide Souma with the challenge he desires but will also shake the very foundations of Tootsuki Academy itself.  [Written by MAL Rewrite]";Shokugeki no Soma 3rd Season, Shokugeki no Soma 3;食戟のソーマ 餐ノ皿
3;Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen;https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Apr 9, 2018 to Jun 25, 2018;12;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['Shueisha'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Kanemoto, Hisako', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Itou, Shizuka', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki'];[{'name': 'Yonetani, Yoshitomo', 'role': 'Director, Storyboard'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}, {'name': 'Sokuza, Makoto', 'role': 'Episode Director'}, {'name': 'Nagai, Shinpei', 'role': 'Episode Director'}];7.97;#629;PG-13 - Teens 13 or older;1,400;#265;681,885;['Crunchyroll', 'Netflix'];"A dark age of cooking befalls Tootsuki Culinary Academy. With the Elite Ten's devastating coup d'état, Azami Nakiri is now the director of the prestigious school. Students must now conform to Azami's ideology of ""true gourmet food"" and are forbidden to express creativity, or else face expulsion.  However, Souma Yukihira and the members of the Polar Star Dormitory refuse to accept these changes. Aided by other rebellious first-years, including the tenth seat, Erina Nakiri, Souma and his allies band together to fight off supporters of Azami's regime. But corrupt instructors and the menacing Central organization stand in their way, and so they must work together, harder than ever before, to survive every underhanded plot designed to banish them from the school.  [Written by MAL Rewrite]";Shokugeki no Soma 4th Season, Food Wars! The Third Plate 2nd cour, Shokugeki no Souma: San no Sara (2018);食戟のソーマ 餐ノ皿 遠月列車篇
4;Shokugeki no Souma: Shin no Sara;https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Oct 12, 2019 to Dec 28, 2019;12;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['Warner Bros. Japan', 'KlockWorx', 'Shueisha', 'Bandai Namco Arts'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Kanemoto, Hisako', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Itou, Shizuka', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki'];[{'name': 'Usukura, Ryuutarou', 'role': 'Producer'}, {'name': 'Yonetani, Yoshitomo', 'role': 'Director, Storyboard'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}, {'name': 'Sokuza, Makoto', 'role': 'Episode Director'}];7.75;#1030;PG-13 - Teens 13 or older;1,324;#341;575,423;['Crunchyroll', 'Netflix', ''];At Tootsuki Culinary Academy, a heated eight-on-eight Shokugeki known as the Régiment de Cuisine rages on between Central and the rebel forces led by Souma Yukihira and Erina Nakiri. Though they won a stunning perfect victory in the first bout, the rebels face an uphill battle ahead, as they must now face off against the rest of the Elite Ten Council. With the future of Tootsuki at stake, Souma and Erina must push far beyond the limits of their abilities, using everything they learned from their mentors and ultimately drawing from their experiences cooking together as friends.  [Written by MAL Rewrite];Shokugeki no Soma 4th Season;食戟のソーマ 神ノ皿
5;Shokugeki no Souma: Gou no Sara;https://myanimelist.net/anime/40902/Shokugeki_no_Souma__Gou_no_Sara;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;23 min. per ep.;Finished Airing;Apr 11, 2020 to Sep 26, 2020;13;TV;Manga;['Gourmet', 'Ecchi'];NOT_EXIST;Shounen;['None found', 'add some'];J.C.Staff;Sentai Filmworks;['Matsuoka, Yoshitsugu', 'Kanemoto, Hisako', 'Takahashi, Minami', 'Hanae, Natsuki', 'Akasaki, Chinatsu', 'Itou, Shizuka', 'Sakurai, Takahiro', 'Okamoto, Nobuhiko', 'Ishigami, Shizuka', 'Koyama, Rikiya'];[{'name': 'Usukura, Ryuutarou', 'role': 'Producer'}, {'name': 'Yonetani, Yoshitomo', 'role': 'Director, Storyboard'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}, {'name': 'Sokuza, Makoto', 'role': 'Episode Director'}];7.32;#2499;PG-13 - Teens 13 or older;1,272;#404;491,008;['Crunchyroll', 'Netflix', ''];Thanks to Souma Yukihira, Erina Nakiri, and the rebel forces overthrowing the regime of Azami Nakiri—the previous school director—and the former Elite Ten, Tootsuki Culinary Academy is back in order. However, its students have one more great battle ahead of them: the BLUE, a competition where young chefs seeking world-class fame compete. Faced with new trials and rivals, Souma and his friends will fight to conquer the BLUE and to defeat Asahi Saiba, the leader of an underworld organization of chefs known as Noir, who once defeated Souma and his father in a Shokugeki.  [Written by MAL Rewrite];Shokugeki no Soma 5th Season;食戟のソーマ 豪ノ皿
6;Dagashi Kashi;https://myanimelist.net/anime/31636/Dagashi_Kashi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Jan 8, 2016 to Apr 1, 2016;12;TV;Manga;['Comedy', 'Gourmet'];NOT_EXIST;Shounen;['Pony Canyon', 'TBS', 'DAX Production', 'BS-TBS', 'Shogakukan', 'Lawson', 'RAY', 'U-NEXT', 'Nichion'];feel.;Funimation;['Taketatsu, Ayana', 'Abe, Atsushi', 'Numakura, Manami', 'Suzuki, Tatsuhisa', 'Fujiwara, Keiji', 'Hara, Asami', 'Tanaka, Aimi', 'Hara, Asami', 'Sugita, Tomokazu', 'Fujiwara, Keiji'];[{'name': 'Tanaka, Junichirou', 'role': 'Producer'}, {'name': 'Okamoto, Junya', 'role': 'Producer'}, {'name': 'Uesaka, Youichirou', 'role': 'Assistant Producer'}, {'name': 'Takayanagi, Shigehito', 'role': 'Director, Series Composition'}];6.61;#6026;PG-13 - Teens 13 or older;978;#465;436,447;['Crunchyroll', 'Funimation'];Out in the countryside stands a sweet shop run by the Shikada family for nine generations: Shikada Dagashi, a small business selling traditional Japanese candy. However, despite his father's pleas, Kokonotsu Shikada, an aspiring manga artist, adamantly refuses to inherit the family business.  However, this may start to change with the arrival of the eccentric Hotaru Shidare. Hotaru is in search of Kokonotsu's father, with the goal of bringing him back to work for her family's company, Shidare Corporation, a world famous sweets manufacturer. Although the senior Shikada initially refuses, he states that he will change his mind on one condition: if Hotaru can convince Kokonotsu to take over the family shop. And so begins Hotaru's mission to enlighten the boy on the true joy of delicious and nostalgic dagashi!  [Written by MAL Rewrite];Dagashikashi;だがしかし
7;Ben-To;https://myanimelist.net/anime/10396/Ben-To;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Oct 9, 2011 to Dec 25, 2011;12;TV;Light novel;['Action', 'Comedy', 'Gourmet'];NOT_EXIST;NOT_EXIST;['Pony Canyon', 'AT-X', 'Magic Capsule', 'Bulls Eye'];David Production;Funimation;['Ise, Mariya', 'Katou, Emiri', 'Shimono, Hiro', 'Yuuki, Aoi', 'Taketatsu, Ayana', 'Kayano, Ai', 'Miyano, Mamoru', 'Tamura, Yukari', 'Nakamura, Eriko', 'Horie, Yui'];[{'name': 'Ishiguro, Tatsuya', 'role': 'Producer'}, {'name': 'Kanemitsu, Kazuhiro', 'role': 'Producer'}, {'name': 'Itagaki, Shin', 'role': 'Director, Episode Director, Script, Storyboard, Animation Director, Series Composition'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}];7.21;#3052;PG-13 - Teens 13 or older;1,140;#679;317,288;['Funimation'];The supermarket is an important building in any city, for they provide a convenient way to purchase a variety of food in a family-friendly, safe environment. However, these stores changes in the blink of an eye once the unsold bento boxes go on their nightly half-off sales! War breaks out and friends become foes as each person fights for honor, pride, and dinner. There are no longer any people in these supermarkets, only Wolves and Dogs⁠—winners and losers.  High schooler You Satou is painfully introduced to these battles after unknowingly stumbling into the war zone, but instead of choosing to avoid these nightly fights, he wants to join in. After seeing Satou's lack of fighting skills, upperclassman and Wolf Sen Yarizui invites him and Hana Oshiroi, a girl who enjoys spectating the brawls, to join her Half-Priced Food Lovers Club to show them the distinction between the Dogs and the Wolves. Together, they learn what it truly means to fight for your food.  [Written by MAL Rewrite];Bento, Ben-Tou;ベン・トー
8;Amaama to Inazuma;https://myanimelist.net/anime/32828/Amaama_to_Inazuma;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Jul 5, 2016 to Sep 20, 2016;12;TV;Manga;['Gourmet', 'Slice of Life'];['Childcare', 'Iyashikei'];Seinen;['Toei Video', 'Kodansha', 'Shin-Ei Animation', 'DAX Production', 'Asmik Ace', 'Yomiuri TV Enterprise', 'Sumitomo', 'TMS Music'];TMS Entertainment;None found, add some;['Endou, Rina', 'Hayami, Saori', 'Nakamura, Yuuichi', 'Seki, Tomokazu', 'Tomatsu, Haruka', 'Kayano, Ai', 'Arai, Satomi', 'Kuga, Komugi', 'Shouki, Tsuru', 'Andou, Saaya'];[{'name': 'Oda, Motohiro', 'role': 'Producer'}, {'name': 'Iwasaki, Tarou', 'role': 'Director'}, {'name': 'Tanaka, Kazuya', 'role': 'Sound Director'}, {'name': 'Deai, Kotomi', 'role': 'Episode Director, Storyboard'}];7.53;#1630;PG-13 - Teens 13 or older;1,152;#721;301,957;['Crunchyroll'];Since the death of his wife, Kouhei Inuzuka has been caring for his young daughter Tsumugi to the best of his abilities. However, with his lack of culinary knowledge and his busy job as a teacher, he is left relying on ready-made meals from convenience stores to feed the little girl. Frustrated at his own incapability to provide a fresh, nutritious meal for his daughter, Kouhei takes up an offer from his student, Kotori Iida, to come have dinner at her family's restaurant. But on their very first visit, the father and daughter discover that the restaurant is often closed due to Kotori's mother being away for work and that Kotori often eats alone. After much pleading from his pupil, Kouhei decides to continue to go to the restaurant with Tsumugi to cook and share delicious homemade food with Kotori.  Amaama to Inazuma follows the heartwarming story of a caring father trying his hardest to make his adorable little daughter happy, while exploring the meanings and values behind cooking, family, and the warm meals at home that are often taken for granted.  [Written by MAL Rewrite];NOT_EXIST;甘々と稲妻
9;Princess Connect! Re:Dive;https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Apr 7, 2020 to Jun 30, 2020;13;TV;Game;['Adventure', 'Comedy', 'Fantasy', 'Gourmet'];NOT_EXIST;NOT_EXIST;['WOWOW', 'Nippon Columbia', 'Tokyo MX', 'BS11', 'Cygames'];CygamesPictures;None found, add some;['Tachibana, Rika', 'Itou, Miku', 'Ichimichi, Mao', 'Abe, Atsushi', 'Hashimoto, Chinami', 'Horie, Yui', 'Ohashi, Ayaka', 'Amamiya, Sora', 'Takahashi, Rie'];[{'name': 'Oowada, Tomoyuki', 'role': 'Producer'}, {'name': 'Kanasaki, Takaomi', 'role': 'Director, Sound Director, Episode Director, Script, Storyboard, Key Animation, Series Composition'}, {'name': 'Yoshida, Shunji', 'role': 'Episode Director'}, {'name': 'Ishikawa, Shunsuke', 'role': 'Episode Director'}];7.05;#3868;PG-13 - Teens 13 or older;980;#821;266,694;['Crunchyroll'];In the continent of Astraea, a man falls from the sky, possessing no memories other than his name, Yuuki. An elf named Kokkoro finds him, introducing herself as his guide in the world they are about to traverse. With Kokkoro's guidance, Yuuki is able to learn how this world works, from battling monsters to handling currency.  To earn money for their journey, Yuuki and Kokkoro decide to go to a nearby guild association to accept a simple quest. In their expedition, they meet Pecorine, a somewhat gluttonous but charming girl skilled in battle. The next day, they also meet Karyl, a cat girl specializing in magic.  After some time, a bond of friendship and camaraderie forms between them, and the four decide to create a guild of their own. As they continue their adventures, they explore the world, meet new people, and will perhaps uncover the mysteries behind Yuuki's missing memories.  [Written by MAL Rewrite];Priconne;プリンセスコネクト！Re:Dive
