;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;"Steins;Gate";https://myanimelist.net/anime/9253/Steins_Gate;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 6, 2011 to Sep 14, 2011;24;TV;Visual novel;['Drama', 'Sci-Fi', 'Suspense'];['Psychological', 'Time Travel'];NOT_EXIST;['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus'];White Fox;Funimation;['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Seki, Tomokazu', 'Tamura, Yukari', 'Kobayashi, Yuu', 'Momoi, Haruko', 'Gotou, Saori', 'Terasoma, Masaki', 'Yamamoto, Ayano'];[{'name': 'Cook, Justin', 'role': 'Producer'}, {'name': 'Iwasa, Gaku', 'role': 'Producer'}, {'name': 'Kananiwa, Kozue', 'role': 'Producer'}, {'name': 'Yasuda, Takeshi', 'role': 'Producer, Planning'}];9.08;#4;PG-13 - Teens 13 or older;180,756;#13;2,402,876;['Crunchyroll', 'Funimation', ''];"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Rintarou founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.  However, when Rintarou decides to attend neuroscientist Kurisu Makise's conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Rintarou dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.  Due to the novel discovery, Rintarou and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, he is not only fighting a battle to save his loved ones, but also one against his degrading sanity.  [Written by MAL Rewrite]";NOT_EXIST;"STEINS;GATE"
1;Code Geass: Hangyaku no Lelouch;https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Oct 6, 2006 to Jul 29, 2007;25;TV;Original;['Action', 'Award Winning', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'School', 'Super Power'];NOT_EXIST;['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];Sunrise;Funimation, Bandai Entertainment;['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Minami, Omi', 'Minagawa, Junko', 'Nazuka, Kaori'];[{'name': 'Maseba, Yutaka', 'role': 'Producer'}, {'name': 'Taniguchi, Gorou', 'role': 'Director, Storyboard, Original Creator'}, {'name': 'Urakami, Yasuo', 'role': 'Sound Director'}, {'name': 'Izawa, Motoi', 'role': 'Sound Director'}];8.70;#53;R - 17+ (violence & profanity);104,260;#20;2,124,806;['Crunchyroll', 'Funimation', ''];"In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence.  Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all.  [Written by MAL Rewrite]";NOT_EXIST;コードギアス 反逆のルルーシュ
2;Yakusoku no Neverland;https://myanimelist.net/anime/37779/Yakusoku_no_Neverland;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;22 min. per ep.;Finished Airing;Jan 10, 2019 to Mar 29, 2019;12;TV;Manga;['Mystery', 'Sci-Fi', 'Suspense'];['Psychological', 'Survival'];Shounen;['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund'];CloverWorks;Aniplex of America;['Ise, Mariya', 'Uchida, Maaya', 'Morohoshi, Sumire', 'Kouno, Hiyori', 'Kaida, Yuuko', 'Fujita, Nao', 'Lynn', 'Ueki, Shinei', 'Ozawa, Ari', 'Kayano, Ai'];[{'name': 'Fukushima, Yuuichi', 'role': 'Producer'}, {'name': 'Suzuki, Kenta', 'role': 'Producer'}, {'name': 'Kanbe, Mamoru', 'role': 'Director, Storyboard'}, {'name': 'Shimizu, Katsunori', 'role': 'Sound Director'}];8.52;#115;R - 17+ (violence & profanity);32,039;#38;1,836,544;['Crunchyroll', 'Funimation', '', '', ''];"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage—a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family, never to be heard from again.  However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.  [Written by MAL Rewrite]";NOT_EXIST;約束のネバーランド
3;Kiseijuu: Sei no Kakuritsu;https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;23 min. per ep.;Finished Airing;Oct 9, 2014 to Mar 26, 2015;24;TV;Manga;['Action', 'Horror', 'Sci-Fi'];['Gore', 'Psychological'];Seinen;['VAP', 'Kodansha', 'Nippon Television Network', 'Forecast Communications'];Madhouse;Sentai Filmworks;['Shimazaki, Nobunaga', 'Hirano, Aya', 'Tanaka, Atsuko', 'Sawashiro, Miyuki', 'Hanazawa, Kana', 'Murase, Ayumu', 'Inoue, Kazuhiko', 'Yoshino, Hiroyuki', 'Suzuki, Takuma', 'Mizushima, Yuu'];[{'name': 'Nakatani, Toshio', 'role': 'Producer'}, {'name': 'Shimizu, Kenichi', 'role': 'Director, Storyboard'}, {'name': 'Yamada, Chiaki', 'role': 'Sound Director'}, {'name': 'Yabuta, Shuuhei', 'role': 'Episode Director, Storyboard'}];8.34;#211;R - 17+ (violence & profanity);33,169;#42;1,757,284;['Crunchyroll', 'HIDIVE', '', ''];All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey.  Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species.  [Written by MAL Rewrite];Parasite, Parasitic Beasts, Parasyte;寄生獣 セイの格率
4;Cowboy Bebop;https://myanimelist.net/anime/1/Cowboy_Bebop;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Apr 3, 1998 to Apr 24, 1999;26;TV;Original;['Action', 'Award Winning', 'Sci-Fi'];['Adult Cast', 'Space'];NOT_EXIST;['Bandai Visual'];Sunrise;Funimation, Bandai Entertainment;['Yamadera, Kouichi', 'Hayashibara, Megumi', 'Tada, Aoi', 'Ishizuka, Unshou', 'Yamadera, Kouichi', 'Wakamoto, Norio', 'Horiuchi, Kenyuu', 'Takashima, Gara', 'Ebara, Masashi', 'Ginga, Banjou'];[{'name': 'Maseba, Yutaka', 'role': 'Producer'}, {'name': 'Minami, Masahiko', 'role': 'Producer'}, {'name': 'Watanabe, Shinichiro', 'role': 'Director, Episode Director, Script, Storyboard'}, {'name': 'Kobayashi, Katsuyoshi', 'role': 'Sound Director'}];8.75;#39;R - 17+ (violence & profanity);77,360;#43;1,745,107;['Crunchyroll', 'Funimation', '', ''];Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.  Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi.  While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.  [Written by MAL Rewrite];NOT_EXIST;カウボーイビバップ
5;Neon Genesis Evangelion;https://myanimelist.net/anime/30/Neon_Genesis_Evangelion;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Oct 4, 1995 to Mar 27, 1996;26;TV;Original;['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense'];['Mecha', 'Psychological'];NOT_EXIST;['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka'];Gainax, Tatsunoko Production;ADV Films, GKIDS;['Miyamura, Yuko', 'Ogata, Megumi', 'Hayashibara, Megumi', 'Mitsuishi, Kotono', 'Ishida, Akira', 'Hayashibara, Megumi', 'Tachiki, Fumihiko', 'Yamadera, Kouichi', 'Yamaguchi, Yuriko', 'Seki, Tomokazu'];[{'name': 'Anno, Hideaki', 'role': 'Producer, Director, Script, Storyboard, Key Animation, Creator, Mechanical Design'}, {'name': 'Yamaga, Hiroyuki', 'role': 'Producer'}, {'name': 'Kobayashi, Noriko', 'role': 'Producer'}, {'name': 'Takahashi, Tomoko', 'role': 'Assistant Producer'}];8.34;#212;PG-13 - Teens 13 or older;98,979;#45;1,690,592;['Netflix'];"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.  Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.  A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.  [Written by MAL Rewrite]";Shinseiki Evangelion;新世紀エヴァンゲリオン
6;Code Geass: Hangyaku no Lelouch R2;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Apr 6, 2008 to Sep 28, 2008;25;TV;Original;['Action', 'Award Winning', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'Super Power'];NOT_EXIST;['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];Sunrise;Funimation, Bandai Entertainment;['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Mizushima, Takahiro', 'Minagawa, Junko', 'Nazuka, Kaori'];[{'name': 'Maseba, Yutaka', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Assistant Producer'}, {'name': 'Taniguchi, Gorou', 'role': 'Director, Storyboard, Original Creator'}, {'name': 'Urakami, Yasuo', 'role': 'Sound Director'}];8.91;#21;R - 17+ (violence & profanity);73,892;#47;1,676,698;['Crunchyroll', 'Funimation', ''];One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt.  Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series.  [Written by MAL Rewrite];Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season;コードギアス 反逆のルルーシュ 続編
7;Dr. Stone;https://myanimelist.net/anime/38691/Dr_Stone;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Jul 5, 2019 to Dec 13, 2019;24;TV;Manga;['Adventure', 'Comedy', 'Sci-Fi'];['Survival', 'Time Travel'];Shounen;['TOHO animation', 'Shueisha', '8PAN'];TMS Entertainment;Funimation, Crunchyroll;['Kobayashi, Yuusuke', 'Kawanishi, Kengo', 'Satou, Gen', 'Numakura, Manami', 'Furukawa, Makoto', 'Takahashi, Karin', 'Nakamura, Yuuichi', 'Mugihito', 'Ichinose, Kana', 'Fujiwara, Keiji'];[{'name': 'Satou, Souta', 'role': 'Producer'}, {'name': 'Iino, Shinya', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}, {'name': 'Yoshida, Shunji', 'role': 'Episode Director'}];8.29;#259;PG-13 - Teens 13 or older;26,265;#55;1,592,928;['Crunchyroll', 'Funimation', ''];After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world—turning every single human into stone.  Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounters one other living human: his science-loving friend Senkuu, who has been active for a few months. Taiju learns that Senkuu has developed a grand scheme—to launch the complete revival of civilization with science. Taiju's brawn and Senkuu's brains combine to forge a formidable partnership, and they soon uncover a method to revive those petrified.  However, Senkuu's master plan is threatened when his ideologies are challenged by those who awaken. All the while, the reason for mankind's petrification remains unknown.  [Written by MAL Rewrite];NOT_EXIST;ドクターストーン
8;Psycho-Pass;https://myanimelist.net/anime/13601/Psycho-Pass;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;23 min. per ep.;Finished Airing;Oct 12, 2012 to Mar 22, 2013;22;TV;Original;['Action', 'Sci-Fi', 'Suspense'];['Adult Cast', 'Detective', 'Psychological'];NOT_EXIST;['Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings'];Production I.G;Funimation;['Seki, Tomokazu', 'Sakurai, Takahiro', 'Hanazawa, Kana', 'Nojima, Kenji', 'Ishida, Akira', 'Arimoto, Kinryuu', 'Sawashiro, Miyuki', 'Itou, Shizuka', 'Hidaka, Noriko', 'Yamaji, Kazuhiro'];[{'name': 'Wada, Jouji', 'role': 'Producer'}, {'name': 'Kawaguchi, Tooru', 'role': 'Producer'}, {'name': 'Morihiro, Fumi', 'role': 'Assistant Producer'}, {'name': 'Mori, Akitoshi', 'role': 'Assistant Producer'}];8.34;#213;R - 17+ (violence & profanity);37,417;#59;1,551,214;['Crunchyroll', 'Funimation', ''];"Justice, and the enforcement of it, has changed. In the 22nd century, Japan enforces the Sibyl System, an objective means of determining the threat level of each citizen by examining their mental state for signs of criminal intent, known as their Psycho-Pass. Inspectors uphold the law by subjugating, often with lethal force, anyone harboring the slightest ill-will; alongside them are Enforcers, jaded Inspectors that have become latent criminals, granted relative freedom in exchange for carrying out the Inspectors' dirty work.  Into this world steps Akane Tsunemori, a young woman with an honest desire to uphold justice. However, as she works alongside veteran Enforcer Shinya Kougami, she soon learns that the Sibyl System's judgments are not as perfect as her fellow Inspectors assume. With everything she has known turned on its head, Akane wrestles with the question of what justice truly is, and whether it can be upheld through the use of a system that may already be corrupt.  [Written by MAL Rewrite]";Psychopath;サイコパス
9;Darling in the FranXX;https://myanimelist.net/anime/35849/Darling_in_the_FranXX;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Jan 13, 2018 to Jul 7, 2018;24;TV;Original;['Action', 'Drama', 'Romance', 'Sci-Fi'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Khara', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment', 'Tokyo MX', 'Nagoya Broadcasting Network', 'Asahi Broadcasting', 'BS11', 'Lawson', 'ABC Animation', 'Rialto Entertainment'];A-1 Pictures, Trigger, CloverWorks;Funimation;['Tomatsu, Haruka', 'Ichinose, Kana', 'Uemura, Yuuto', 'Hayami, Saori', 'Umehara, Yuuichirou', 'Yamashita, Nanami', 'Ichikawa, Aoi', 'Tamura, Mutsumi', 'Ishigami, Shizuka', 'Gotou, Hiroki'];[{'name': 'Wakabayashi, Hiromi', 'role': 'Producer'}, {'name': 'Kamagata, Eiichi', 'role': 'Producer'}, {'name': 'Toba, Yousuke', 'role': 'Producer'}, {'name': 'Fukushima, Yuuichi', 'role': 'Producer'}];7.21;#3039;PG-13 - Teens 13 or older;30,745;#62;1,543,392;['Crunchyroll', 'Funimation', '', ''];"In the distant future, humanity has been driven to near-extinction by giant beasts known as Klaxosaurs, forcing the surviving humans to take refuge in massive fortress cities called Plantations. Children raised here are trained to pilot giant mechas known as FranXX—the only weapons known to be effective against the Klaxosaurs—in boy-girl pairs. Bred for the sole purpose of piloting these machines, these children know nothing of the outside world and are only able to prove their existence by defending their race.  Hiro, an aspiring FranXX pilot, has lost his motivation and self-confidence after failing an aptitude test. Skipping out on his class' graduation ceremony, Hiro retreats to a forest lake, where he encounters a mysterious girl with two horns growing out of her head. She introduces herself by her codename Zero Two, which is known to belong to an infamous FranXX pilot known as the ""Partner Killer."" Before Hiro can digest the encounter, the Plantation is rocked by a sudden Klaxosaur attack. Zero Two engages the creature in her FranXX, but it is heavily damaged in the skirmish and crashes near Hiro. Finding her partner dead, Zero Two invites Hiro to pilot the mecha with her, and the duo easily defeats the Klaxosaur in the ensuing fight. With a new partner by his side, Hiro has been given a chance at redemption for his past failures, but at what cost?  [Written by MAL Rewrite]";NOT_EXIST;ダーリン・イン・ザ・フランキス
