;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Hyouka;https://myanimelist.net/anime/12189/Hyouka;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;25 min. per ep.;Finished Airing;Apr 23, 2012 to Sep 17, 2012;22;TV;Novel;['Mystery', 'Slice of Life'];NOT_EXIST;NOT_EXIST;['Lantis', 'Kadokawa Shoten', 'KlockWorx', 'chara-ani.com', 'Animation Do'];Kyoto Animation;Funimation;['Nakamura, Yuuichi', 'Satou, Satomi', 'Sakaguchi, Daisuke', 'Kayano, Ai', 'Yukana', 'Yukino, Satsuki', 'Hayami, Saori', 'Ise, Mariya', 'Okiayu, Ryoutarou', 'Taniyama, Kishou'];[{'name': 'Hatta, Hideaki', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Itou, Makoto', 'role': 'Producer'}, {'name': 'Takemoto, Yasuhiro', 'role': 'Director, Episode Director, Storyboard'}];8.08;#490;PG-13 - Teens 13 or older;26,071;#89;1,298,989;['Crunchyroll', 'Funimation'];High school freshman Houtarou Oreki has but one goal: to lead a gray life while conserving as much energy as he can. Unfortunately, his peaceful days come to an end when his older sister, Tomoe, forces him to save the memberless Classics Club from disbandment.  Luckily, Oreki's predicament seems to be over when he heads to the clubroom and discovers that his fellow first-year, Eru Chitanda, has already become a member. However, despite his obligation being fulfilled, Oreki finds himself entangled by Chitanda's curious and bubbly personality, soon joining the club of his own volition.  Hyouka follows the four members of the Classics Club—including Oreki's friends Satoshi Fukube and Mayaka Ibara—as they, driven by Chitanda's insatiable curiosity, solve the trivial yet intriguing mysteries that permeate their daily lives.  [Written by MAL Rewrite];Hyou-ka, Hyouka: You can't escape, Hyou-ka: You can't escape, Hyoka;氷菓
1;Kobayashi-san Chi no Maid Dragon;https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Jan 12, 2017 to Apr 6, 2017;13;TV;Manga;['Fantasy', 'Slice of Life'];NOT_EXIST;NOT_EXIST;['Lantis', 'Pony Canyon', 'ABC Animation'];Kyoto Animation;Funimation, Crunchyroll;['Naganawa, Maria', 'Kuwahara, Yuuki', 'Tamura, Mutsumi', 'Takahashi, Minami', 'Takada, Yuuki', 'Ono, Daisuke', 'Katou, Emiri', 'Ishihara, Kaori', 'Nakamura, Yuuichi', 'Gotou, Yuuko'];[{'name': 'Nakamura, Shinichi', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Hasegawa, Yuri', 'role': 'Assistant Producer'}, {'name': 'Takemoto, Yasuhiro', 'role': 'Director, Episode Director, Script, Storyboard'}];7.97;#623;PG-13 - Teens 13 or older;16,695;#108;1,168,078;['Crunchyroll', 'Funimation'];As Kobayashi sets off for another day at work, she opens her apartment door only to be met by an unusually frightening sight—the head of a dragon, staring at her from across the balcony. The dragon immediately transforms into a cute, busty, and energetic young girl dressed in a maid outfit, introducing herself as Tooru.  It turns out that the stoic programmer had come across the dragon the previous night on a drunken excursion to the mountains, and since the mythical beast had nowhere else to go, she had offered the creature a place to stay in her home. Thus, Tooru had arrived to cash in on the offer, ready to repay her savior's kindness by working as her personal maidservant. Though deeply regretful of her words and hesitant to follow through on her promise, a mix of guilt and Tooru's incredible dragon abilities convinces Kobayashi to take the girl in.  Despite being extremely efficient at her job, the maid's unorthodox methods of housekeeping often end up horrifying Kobayashi and at times bring more trouble than help. Furthermore, the circumstances behind the dragon's arrival on Earth seem to be much more complicated than at first glance, as Tooru bears some heavy emotions and painful memories. To top it all off, Tooru's presence ends up attracting several other mythical beings to her new home, bringing in a host of eccentric personalities. Although Kobayashi makes her best effort to handle the crazy situation that she has found herself in, nothing has prepared her for this new life with a dragon maid.  [Written by MAL Rewrite];The maid dragon of Kobayashi-san;小林さんちのメイドラゴン
2;Suzumiya Haruhi no Yuuutsu;https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Apr 3, 2006 to Jul 3, 2006;14;TV;Light novel;['Award Winning', 'Comedy', 'Mystery', 'Sci-Fi', 'Slice of Life'];NOT_EXIST;NOT_EXIST;['Lantis', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx'];Kyoto Animation;Funimation, Bandai Entertainment, Kadokawa Pictures USA;['Hirano, Aya', 'Sugita, Tomokazu', 'Chihara, Minori', 'Gotou, Yuuko', 'Ono, Daisuke', 'Matsuoka, Yuki', 'Kuwatani, Natsuko', 'Aoki, Sayaka', 'Ogata, Kenichi', 'Yanagisawa, Eiji'];[{'name': 'Hatta, Youko', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Ishihara, Tatsuya', 'role': 'Director, Episode Director, Script, Storyboard'}, {'name': 'Tsuruoka, Youta', 'role': 'Sound Director'}];7.83;#872;PG-13 - Teens 13 or older;14,838;#169;882,270;['Funimation', 'Netflix'];"If a survey were conducted to see if people believed in aliens, time travelers, or maybe espers, most would say they do not; average high school student Kyon considers himself among the non-believers. However, on his first day of school, he meets a girl who soon turns his world upside down.  During class introductions, the beautiful Haruhi Suzumiya boldly announces her boredom with ""normal"" people and her intention of meeting supernatural beings. Dumbfounded, Kyon learns of her frustration with the lack of paranormal-focused clubs at their school and unwittingly inspires her to start her own club. She creates the Spreading Fun all Over the World with Haruhi Suzumiya Brigade, otherwise known as the SOS Brigade.  Following the SOS Brigade's founding, Haruhi manages to recruit Kyon and three other members: quiet bookworm Yuki Nagato, shy upperclassman Mikuru Asahina, and perpetually positive Itsuki Koizumi. Despite their normal appearance, the new members of the SOS Brigade each carry their own secrets related to Haruhi. Caught up in the mystery surrounding the eccentric club leader, Kyon is whisked away on a series of misadventures by Haruhi and the SOS Brigade, each one bringing him closer to the truth about who and what she is.  [Written by MAL Rewrite]";Suzumiya Haruhi no Yuuutsu;涼宮ハルヒの憂鬱
3;Beastars;https://myanimelist.net/anime/39195/Beastars;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;22 min. per ep.;Finished Airing;Oct 10, 2019 to Dec 26, 2019;12;TV;Manga;['Drama', 'Slice of Life'];['Anthropomorphic', 'Psychological', 'School'];Shounen;['Movic', 'Fuji TV', 'Bandai', 'Toho', 'BS Fuji', 'TOHO animation', 'Q-Tec', 'Akita Shoten', 'Hakuhodo DY Media Partners', 'Bandai Spirits', 'Toho Music'];Orange;None found, add some;['Kobayashi, Chikahiro', 'Ono, Yuuki', 'Senbongi, Sayaka', 'Ootsuka, Akio', 'Enoki, Junya', 'Tanezaki, Atsumi', 'Torashima, Takaaki', 'Ando, Sakura', 'Muro, Genki', 'Ootsuka, Takeo'];[{'name': 'Matsumi, Shinichi', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Kyougoku, Takahiko', 'role': 'Episode Director, Storyboard'}, {'name': 'Kuno, Yoko', 'role': 'Episode Director, Storyboard, Key Animation'}, {'name': 'Sokuza, Makoto', 'role': 'Episode Director'}];7.85;#814;R - 17+ (violence & profanity);9,378;#203;796,657;['Netflix'];In a civilized society of anthropomorphic animals, an uneasy tension exists between carnivores and herbivores. At Cherryton Academy, this mutual distrust peaks after a predation incident results in the death of Tem, an alpaca in the school's drama club. Tem's friend Legoshi, a grey wolf in the stage crew, has been an object of fear and suspicion for his whole life. In the immediate aftermath of the tragedy, he continues to lay low and hide his menacing traits, much to the disapproval of Louis, a red deer and the domineering star actor of the drama club.  When Louis sneaks into the auditorium to train Tem's replacement for an upcoming play, he assigns Legoshi to lookout duty. That very night, Legoshi has a fateful encounter with Haru, a white dwarf rabbit scorned by her peers. His growing feelings for Haru, complicated by his predatory instincts, force him to confront his own true nature, the circumstances surrounding the death of his friend, and the undercurrent of violence plaguing the world around him.  [Written by MAL Rewrite];NOT_EXIST;BEASTARS
4;Mushishi;https://myanimelist.net/anime/457/Mushishi;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;23 min. per ep.;Finished Airing;Oct 23, 2005 to Jun 19, 2006;26;TV;Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];['Adult Cast', 'Historical', 'Iyashikei'];Seinen;['Avex Entertainment', 'Marvelous', 'SKY Perfect Well Think', 'Delfi Sound'];Artland;Funimation;['Nakano, Yuto', 'Tsuzurahara, Miyu', 'Doi, Mika', 'Ueda, Yuuji', 'Doi, Mika', 'Honjou, Yuutaro', 'Oka, Akiko', 'Sanpei, Yuuko', 'Maeda, Takeshi', 'Kitou, Noriko'];[{'name': 'Cook, Justin', 'role': 'Producer'}, {'name': 'Suzuki, Atsushi', 'role': 'Producer'}, {'name': 'Nagahama, Hiroshi', 'role': 'Director, Episode Director, Storyboard, Series Composition'}, {'name': 'Tanaka, Kazuya', 'role': 'Sound Director'}];8.66;#62;PG-13 - Teens 13 or older;25,721;#209;784,844;['Crunchyroll', 'Funimation', ''];"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows.  This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence.  So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life.  Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer.  It could, after all, lead to the meaning of life itself.  [Written by MAL Rewrite]";NOT_EXIST;蟲師
5;Ookami Kodomo no Ame to Yuki;https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;1 hr. 57 min.;Finished Airing;Jul 21, 2012;1;Movie;Original;['Award Winning', 'Fantasy', 'Slice of Life'];NOT_EXIST;NOT_EXIST;['Madhouse', 'VAP', 'Dentsu', 'Yomiuri Telecasting', 'Kadokawa Shoten', 'Toho', 'Hiroshima Television'];Studio Chizu;Funimation;['Miyazaki, Aoi', 'Nishii, Yukito', 'Kuroki, Haru', 'Osawa, Takao', 'Hiraoka, Takuma', 'Sugawara, Bunta', 'Kobayashi, Rino', 'Aso, Kumiko', 'Hayashibara, Megumi', 'Kamishiraishi, Mone'];[{'name': 'Saitou, Yuuichirou', 'role': 'Producer'}, {'name': 'Inoue, Shinichiro', 'role': 'Producer'}, {'name': 'Hosoda, Mamoru', 'role': 'Director, Theme Song Lyrics, Screenplay, Original Creator'}, {'name': 'Okudera, Satoko', 'role': 'Script'}];8.58;#90;PG-13 - Teens 13 or older;11,024;#221;774,869;[];Hana, a hard-working college student, falls in love with a mysterious man who attends one of her classes though he is not an actual student. As it turns out, he is not truly human either. On a full moon night, he transforms, revealing that he is the last werewolf alive. Despite this, Hana's love remains strong, and the two ultimately decide to start a family.  Hana gives birth to two healthy children—Ame, born during rainfall, and Yuki, born during snowfall—both possessing the ability to turn into wolves, a trait inherited from their father. All too soon, however, the sudden death of her lover devastates Hana's life, leaving her to raise a peculiar family completely on her own. The stress of raising her wild-natured children in a densely populated city, all while keeping their identity a secret, culminates in a decision to move to the countryside, where she hopes Ame and Yuki can live a life free from the judgments of society. Wolf Children is the heartwarming story about the challenges of being a single mother in an unforgiving modern world.  [Written by MAL Rewrite];The Wolf Children Ame and Yuki;おおかみこどもの雨と雪
6;3-gatsu no Lion;https://myanimelist.net/anime/31646/3-gatsu_no_Lion;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;25 min. per ep.;Finished Airing;Oct 8, 2016 to Mar 18, 2017;22;TV;Manga;['Drama', 'Slice of Life'];['Childcare', 'Iyashikei', 'Strategy Game'];Seinen;"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]";Shaft;Aniplex of America;['Kawanishi, Kengo', 'Hanazawa, Kana', 'Kayano, Ai', 'Kuno, Misaki', 'Miki, Shinichiro', 'Okamoto, Nobuhiko', 'Sakurai, Takahiro', 'Inoue, Marina', 'Ishida, Akira', 'Ueda, Yuuji'];[{'name': 'Shinbou, Akiyuki', 'role': 'Director'}, {'name': 'Okada, Kenjirou', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Nakura, Yasuhiro', 'role': 'Director, Episode Director, Storyboard, Key Animation, Setting, Layout'}, {'name': 'Asano, Naoyuki', 'role': 'Director, Storyboard, Animation Director'}];8.38;#188;PG-13 - Teens 13 or older;14,989;#288;645,421;['Crunchyroll', 'Funimation', ''];Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall.  However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei's loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions.  [Written by MAL Rewrite];Sangatsu no Lion;3月のライオン
7;Barakamon;https://myanimelist.net/anime/22789/Barakamon;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;22 min. per ep.;Finished Airing;Jul 6, 2014 to Sep 28, 2014;12;TV;Web manga;NOT_EXIST;['Childcare', 'Iyashikei', 'Visual Arts'];NOT_EXIST;['VAP', 'Nippon Television Network'];Kinema Citrus;Funimation;['Hara, Suzuko', 'Ono, Daisuke', 'Ookubo, Rumi', 'Furuki, Nozomi', 'Endou, Rina', 'Uchiyama, Kouki', 'Takamori, Yoshino', 'Suwabe, Junichi', 'Tachiki, Fumihiko', 'Kimura, Seiya'];[{'name': 'Nakatani, Toshio', 'role': 'Producer'}, {'name': 'Tachibana, Masaki', 'role': 'Director, Episode Director, Storyboard, Key Animation, Principle Drawing, 2nd Key Animation'}, {'name': 'Wakabayashi, Kazuhiro', 'role': 'Sound Director'}, {'name': 'Nakamura, Ryousuke', 'role': 'Episode Director, Storyboard'}];8.38;#189;PG-13 - Teens 13 or older;12,470;#298;631,386;['Crunchyroll', 'Funimation'];"Seishuu Handa is an up-and-coming calligrapher: young, handsome, talented, and unfortunately, a narcissist to boot. When a veteran labels his award-winning piece as ""unoriginal,"" Seishuu quickly loses his cool with severe repercussions.  As punishment, and also in order to aid him in self-reflection, Seishuu's father exiles him to the Goto Islands, far from the comfortable Tokyo lifestyle the temperamental artist is used to. Now thrown into a rural setting, Seishuu must attempt to find new inspiration and develop his own unique art style—that is, if boisterous children (headed by the frisky Naru Kotoishi), fujoshi middle schoolers, and energetic old men stop barging into his house! The newest addition to the intimate and quirky Goto community only wants to get some work done, but the islands are far from the peaceful countryside he signed up for. Thanks to his wacky neighbors who are entirely incapable of minding their own business, the arrogant calligrapher learns so much more than he ever hoped to.  [Written by MAL Rewrite]";Barakamon;ばらかもん
8;Natsume Yuujinchou;https://myanimelist.net/anime/4081/Natsume_Yuujinchou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Jul 8, 2008 to Sep 30, 2008;13;TV;Manga;['Drama', 'Slice of Life', 'Supernatural'];['Iyashikei', 'Mythology'];Shoujo;['Aniplex', 'Nihon Ad Systems', 'TV Tokyo Music', 'Sony Music Entertainment'];Brain's Base;NIS America, Inc., Crunchyroll;['Kamiya, Hiroshi', 'Inoue, Kazuhiko', 'Kobayashi, Sanae', 'Horie, Kazuma', 'Ishida, Akira', 'Yajima, Akiko', 'Okamura, Akemi', 'Itou, Miki', 'Yukino, Satsuki', 'Yuzuki, Ryouka'];[{'name': 'Miyake, Masanori', 'role': 'Producer'}, {'name': 'Oomori, Takahiro', 'role': 'Director, Sound Director, Episode Director, Storyboard'}, {'name': 'Kosaka, Harume', 'role': 'Episode Director'}, {'name': 'Kawamura, Tomoyuki', 'role': 'Episode Director'}];8.31;#236;PG-13 - Teens 13 or older;15,090;#389;513,177;['Crunchyroll', 'Netflix'];Due to an unusual ability to see strange creatures called youkai, Takashi Natsume has never fit in. Passed around from one foster home to another, he was left isolated and lonely. Over time, he has accepted that no one would ever believe him and has closed himself off to his current caretakers and classmates.  When Natsume accidentally breaks an intangible barrier, he frees Madara—a mighty spirit in the form of a lucky cat. Madara notices that Natsume bears a remarkable resemblance to his late grandmother Reiko Natsume, an outcast girl who became known across the youkai world for creating the Book of Friends. It is now in Natsume's possession, along with its power to call upon the written names of the youkai Reiko had defeated.  With no interest in its powers, Natsume decides to keep the book for the sake of his grandmother's memories and to protect it from scheming youkai. Therefore, he makes a deal with Madara: he will hand him the book once his time is up, and in turn, Madara will act as Natsume's unofficial bodyguard, nicknamed Nyanko-sensei. With his newfound goal of freeing those Reiko had sealed, Natsume's relationship with both youkai and humans slowly begins to improve.  [Written by MAL Rewrite];Natsume Yujincho, Natsume Yujin-cho;夏目友人帳
9;Kobayashi-san Chi no Maid Dragon S;https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;23 min. per ep.;Finished Airing;Jul 8, 2021 to Sep 23, 2021;12;TV;Manga;['Fantasy', 'Slice of Life'];NOT_EXIST;NOT_EXIST;['Lantis', 'ABC Animation', 'Heart Company'];Kyoto Animation;None found, add some;['Naganawa, Maria', 'Kuwahara, Yuuki', 'Tamura, Mutsumi', 'Takahashi, Minami', 'Takada, Yuuki', 'Ono, Daisuke', 'Mineuchi, Tomomi', 'Katou, Emiri', 'Ishihara, Kaori', 'Nakamura, Yuuichi'];[{'name': 'Nakamura, Shinichi', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Yasui, Kazunari', 'role': 'Producer'}, {'name': 'Suzuki, Megumi', 'role': 'Producer'}];8.31;#235;PG-13 - Teens 13 or older;5,720;#394;509,241;['Crunchyroll', 'Aniplus TV', '', '', ''];As Tooru continues on her quest to become the greatest maid and Kanna Kamui fully immerses in her life as an elementary school student, there is not a dull day in the Kobayashi household with mischief being a daily staple. On one such day, however, a massive landslide is spotted on the hill where Kobayashi and Tooru first met—a clear display of a dragon's might. When none of the dragons they know claim responsibility, the perpetrator herself descends from the skies: Ilulu, the radical Chaos Dragon with monstrous power rivaling that of Tooru.  Sickened by Tooru's involvement with humans, Ilulu resorts to the typical dragon method of resolving conflict—a battle to the death. Despite such behavior, she becomes intrigued by Kobayashi's ability to befriend dragons and decides instead to observe just what makes Kobayashi so special. With a new troublesome dragon in town, Kobayashi's eccentric life with a dragon maid is only getting merrier.  [Written by MAL Rewrite];Kobayashi-san Chi no Maid Dragon 2nd Season, Miss Kobayashi's Dragon Maid 2nd Season;小林さんちのメイドラゴンS
