;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Death Note;https://myanimelist.net/anime/1535/Death_Note;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Oct 4, 2006 to Jun 27, 2007;37;TV;Manga;['Supernatural', 'Suspense'];['Detective', 'Psychological'];Shounen;['VAP', 'Konami', 'Ashi Productions', 'Nippon Television Network', 'Shueisha'];Madhouse;VIZ Media;['Yamaguchi, Kappei', 'Miyano, Mamoru', 'Nakamura, Shidou', 'Hirano, Aya', 'Hidaka, Noriko', 'Sasaki, Nozomu', 'Naitou, Ryou', 'Nishimura, Tomohiro', 'Matsukaze, Masaya', 'Saitou, Kimiko'];[{'name': 'Maruyama, Masao', 'role': 'Producer'}, {'name': 'Tamura, Manabu', 'role': 'Producer'}, {'name': 'Nakatani, Toshio', 'role': 'Producer'}, {'name': 'Hashimoto, Kentarou', 'role': 'Producer'}];8.62;#79;R - 17+ (violence & profanity);165,618;#2;3,660,502;['Crunchyroll', 'Funimation', '', ''];Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.  For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.  Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.  [Written by MAL Rewrite];DN;デスノート
1;Kimi no Na wa.;https://myanimelist.net/anime/32281/Kimi_no_Na_wa;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;1 hr. 46 min.;Finished Airing;Aug 26, 2016;1;Movie;Original;['Award Winning', 'Drama', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting'];CoMix Wave Films;Funimation, NYAV Post;['Kamishiraishi, Mone', 'Kamiki, Ryunosuke', 'Hanazawa, Kana', 'Nagasawa, Masami', 'Tani, Kanon', 'Narita, Ryou', 'Ichihara, Etsuko', 'Shimazaki, Nobunaga', 'Yuuki, Aoi', 'Ishikawa, Kaito'];[{'name': 'Bezerra, Wendel', 'role': 'Producer'}, {'name': 'Kawamura, Genki', 'role': 'Producer, Planning'}, {'name': 'Takei, Katsuhiro', 'role': 'Producer'}, {'name': 'Shinkai, Makoto', 'role': 'Director, Script, Storyboard, Director of Photography, Editing, Original Creator, Color Design'}];8.85;#27;PG-13 - Teens 13 or older;86,083;#11;2,552,413;['Netflix'];Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.  One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.  Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.  [Written by MAL Rewrite];NOT_EXIST;君の名は。
2;Angel Beats!;https://myanimelist.net/anime/6547/Angel_Beats;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 3, 2010 to Jun 26, 2010;13;TV;Original;['Drama', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'CBC Television', 'Movic', 'Visual Arts', 'ASCII Media Works'];P.A. Works;Sentai Filmworks, Aniplex of America;['Hanazawa, Kana', 'Sakurai, Harumi', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Kitamura, Eri', 'Rivas, Michael', 'Sawashiro, Miyuki', 'Ogata, Megumi', 'Saito, Fuko', 'Takagi, Shun'];[{'name': 'Horikawa, Kenji', 'role': 'Producer'}, {'name': 'Toba, Yousuke', 'role': 'Producer'}, {'name': 'Tsuji, Mitsuhito', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}];8.06;#507;PG-13 - Teens 13 or older;47,384;#28;1,991,955;['Crunchyroll', 'Funimation', ''];"Death is one of many mysteries that has left humanity in the dark since the dawn of time. However, the burning question of what happens to the soul after one dies is soon answered to 17-year-old Yuzuru Otonashi. Waking up with no previous memories in a dimension between life and death, he discovers the unsettling truth of the afterlife.  Taking the form of a high school, this bizarre dimension is designated to shelter those who died unwanted deaths. Feeling wronged by God during their earthly lives, the school's residents have decided to form the Afterlife Battlefront—a rebellious faction determined to oppose their god-like student council president, Kanade ""Angel"" Tachibana. The group's leader, Yuri Nakamura, recruits Otonashi in their fight against Angel in order to take control of their own lives. However, questioning the morality behind their actions, Otonashi takes a step behind the enemy lines to understand the opposing side of their common fate.  [Written by MAL Rewrite]";NOT_EXIST;Angel Beats!（エンジェルビーツ!）
3;Boku dake ga Inai Machi;https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;23 min. per ep.;Finished Airing;Jan 8, 2016 to Mar 25, 2016;12;TV;Manga;['Mystery', 'Supernatural', 'Suspense'];['Psychological', 'Time Travel'];Seinen;['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one'];A-1 Pictures;Aniplex of America;['Mitsushima, Shinnosuke', 'Yuuki, Aoi', 'Takayama, Minami', 'Taichi, You', 'Akasaki, Chinatsu', 'Miyamoto, Mitsuru', 'Kitou, Akari', 'Mizushima, Takahiro', 'Okamura, Akemi', 'Nanase, Ayaka'];[{'name': 'Suzuki, Kenta', 'role': 'Producer'}, {'name': 'Itou, Tomohiko', 'role': 'Director'}, {'name': 'Iwanami, Yoshikazu', 'role': 'Sound Director'}, {'name': 'Ishii, Toshimasa', 'role': 'Episode Director, Storyboard, Assistant Director'}];8.31;#241;R - 17+ (violence & profanity);46,125;#30;1,965,243;['Crunchyroll', 'Funimation', ''];"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mysterious phenomenon, which he calls ""Revival,"" to save many lives.  However, when he is wrongfully accused of murdering someone close to him, Satoru is sent back to the past once again, but this time to 1988, 18 years in the past. Soon, he realizes that the murder may be connected to the abduction and killing of one of his classmates, the solitary and mysterious Kayo Hinazuki, that took place when he was a child. This is his chance to make things right.  Boku dake ga Inai Machi follows Satoru in his mission to uncover what truly transpired 18 years ago and prevent the death of his classmate while protecting those he cares about in the present.  [Written by MAL Rewrite]";The Town Where Only I am Missing, BokuMachi;僕だけがいない街
4;Mirai Nikki (TV);https://myanimelist.net/anime/10620/Mirai_Nikki_TV;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;23 min. per ep.;Finished Airing;Oct 9, 2011 to Apr 15, 2012;26;TV;Manga;['Action', 'Supernatural', 'Suspense'];['Gore', 'High Stakes Game', 'Psychological', 'Survival'];Shounen;['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'chara-ani.com', '12 Diary Holders', 'Dwango', 'Sakura Create'];asread.;Funimation;['Murata, Tomosa', 'Togashi, Misuzu', 'Aizawa, Mai', 'Ishida, Akira', 'Kawahara, Yoshihisa', 'Honda, Manami', 'Wakamoto, Norio', 'Sendai, Eri', 'Sanada, Asami', 'Seki, Tomokazu'];[{'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Hosoda, Naoto', 'role': 'Director'}, {'name': 'Nagura, Yasushi', 'role': 'Sound Director'}, {'name': 'Takashima, Daisuke', 'role': 'Episode Director'}];7.42;#2024;R+ - Mild Nudity;30,022;#32;1,927,909;['Crunchyroll', 'Funimation'];"Yukiteru Amano is a shy middle schooler who regularly keeps track of what he does in his daily life by writing down all of his activities on his phone—a digital diary. Despite having no friends at school, Yukiteru is frequently seen talking to his supposedly imaginary friends Deus Ex Machina, the god of time and space; and Deus' servant, Mur Mur.  One day, Yukiteru wakes up and discovers that certain events of his day are preemptively displayed on his cellphone. While initially dismissing it as a coincidence, he slowly realizes that the incidents written in his phone actually take place in the near future. After spending the day benefiting from this new asset, Yukiteru learns that his classmate Yuno Gasai possesses a similar diary.  As the two team up to defeat an odd pursuer and head back to their respective homes, Deus Ex Machina explains that they—alongside 10 other contestants—have been drawn into a survival game whose victor will become the deity's successor. With no other options, Yukiteru and Yuno must use their cellphones—now called ""Future Diaries""—to survive this unforgiving battle royale.  [Written by MAL Rewrite]";Mirai Nikki, Mirai Nikki (2011);未来日記
5;Mob Psycho 100;https://myanimelist.net/anime/32182/Mob_Psycho_100;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Jul 11, 2016 to Sep 27, 2016;12;TV;Web manga;['Action', 'Comedy', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan'];Bones;Funimation, Crunchyroll;['Sakurai, Takahiro', 'Itou, Setsuo', 'Ootsuka, Akio', 'Irino, Miyu', 'Matsuoka, Yoshitsugu', 'Seki, Toshihiko', 'Tanezaki, Atsumi', 'Kokuryu, Sachi', 'Hosoya, Yoshimasa', 'Fujimura, Ayumi'];[{'name': 'Bezerra, Wendel', 'role': 'Producer'}, {'name': 'Tachikawa, Yuzuru', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Wakabayashi, Kazuhiro', 'role': 'Sound Director'}, {'name': 'Fujisawa, Kenichi', 'role': 'Episode Director, Storyboard, Animation Director, Key Animation'}];8.49;#131;PG-13 - Teens 13 or older;44,637;#33;1,923,271;['Crunchyroll', 'Funimation', ''];"Eighth-grader Shigeo ""Mob"" Kageyama has tapped into his inner wellspring of psychic prowess at a young age. But the power quickly proves to be a liability when he realizes the potential danger in his skills. Choosing to suppress his power, Mob's only present use for his ability is to impress his longtime crush, Tsubomi, who soon grows bored of the same tricks.  In order to effectuate control on his skills, Mob enlists himself under the wing of Arataka Reigen, a con artist claiming to be a psychic, who exploits Mob's powers for pocket change. Now, exorcising evil spirits on command has become a part of Mob's daily, monotonous life. However, the psychic energy he exerts is barely the tip of the iceberg; if his vast potential and unrestrained emotions run berserk, a cataclysmic event that would render him completely unrecognizable will be triggered. The progression toward Mob's explosion is rising and attempting to stop it is futile.  [Written by MAL Rewrite]";Mob Psycho Hyaku, Mob Psycho One Hundred;モブサイコ100
6;Sen to Chihiro no Kamikakushi;https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;2 hr. 4 min.;Finished Airing;Jul 20, 2001;1;Movie;Original;['Adventure', 'Award Winning', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Toho'];Studio Ghibli;Disney Platform Distribution, GKIDS;['Irino, Miyu', 'Hiiragi, Rumi', 'Nakamura, Akio', 'Sugawara, Bunta', 'Tamai, Yumi', 'Natsuki, Mari', 'Yasuda, Ken', 'Natsuki, Mari'];[{'name': 'Suzuki, Toshio', 'role': 'Producer'}, {'name': 'Ishii, Tomohiko', 'role': 'Assistant Producer'}, {'name': 'Miyazaki, Hayao', 'role': 'Director, Script, Storyboard'}, {'name': 'Kimura, Youmi', 'role': 'Theme Song Composition, Theme Song Performance'}];8.78;#34;PG - Children;30,646;#44;1,733,405;['Netflix'];Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.  Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.  [Written by MAL Rewrite];Sen and Chihiro's Spiriting Away;千と千尋の神隠し
7;Death Parade;https://myanimelist.net/anime/28223/Death_Parade;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;23 min. per ep.;Finished Airing;Jan 10, 2015 to Mar 28, 2015;12;TV;Original;['Drama', 'Supernatural', 'Suspense'];['Adult Cast', 'High Stakes Game', 'Psychological'];NOT_EXIST;['VAP', 'DAX Production', 'Nippon Television Network'];Madhouse;Funimation;['Maeno, Tomoaki', 'Seto, Asami', 'Ookubo, Rumi', 'Uchiyama, Kouki', 'Hosoya, Yoshimasa', 'Tanezaki, Atsumi', 'Shiraishi, Ryouko', 'Fujiwara, Keiji', 'Yuzuki, Ryouka', 'Genda, Tesshou'];[{'name': 'Nakatani, Toshio', 'role': 'Producer'}, {'name': 'Tachikawa, Yuzuru', 'role': 'Director, Episode Director, Storyboard, Series Composition, Screenplay, Original Creator'}, {'name': 'Motoyama, Satoshi', 'role': 'Sound Director'}, {'name': 'Watanabe, Shinichiro', 'role': 'Episode Director'}];8.16;#389;R - 17+ (violence & profanity);27,217;#49;1,665,300;['Crunchyroll', 'Funimation', '', ''];After death, either Heaven or Hell awaits most humans. But for a select few, death brings them to Quindecim—a bar where only pairs of people who die at the same time can enter. Attending the bar is an enigmatic figure known as Decim, who also acts as the arbiter. He passes judgment on those who wind up at Quindecim by challenging them to a life-threatening game. These games determine if the patron's soul will reincarnate into a new life, or be sent into the void, never to be seen again.  From darts and bowling to fighting games, the true nature of each patron slowly comes to light as they wager their souls. Though his methods remain unchanged, the sudden appearance of a black-haired amnesiac causes Decim to reevaluate his own rulings.  [Written by MAL Rewrite];NOT_EXIST;デス・パレード
8;Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai;https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Oct 4, 2018 to Dec 27, 2018;13;TV;Light novel;['Drama', 'Romance', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa'];CloverWorks;Aniplex of America;['Seto, Asami', 'Ishikawa, Kaito', 'Tanezaki, Atsumi', 'Touyama, Nao', 'Kubo, Yurika', 'Minase, Inori', 'Uchida, Maaya', 'Uchida, Yuuma', 'Akaneya, Himika', 'Aikawa, Natsuki'];[{'name': 'Masui, Souichi', 'role': 'Director, Storyboard'}, {'name': 'Iwanami, Yoshikazu', 'role': 'Sound Director'}, {'name': 'Shinohara, Masahiro', 'role': 'Episode Director'}, {'name': 'Takahashi, Hidetoshi', 'role': 'Episode Director'}];8.25;#297;PG-13 - Teens 13 or older;44,366;#52;1,608,151;['Crunchyroll', 'Funimation', '', ''];The rare and inexplicable Puberty Syndrome is thought of as a myth. It is a rare disease which only affects teenagers, and its symptoms are so supernatural that hardly anyone recognizes it as a legitimate occurrence. However, high school student Sakuta Azusagawa knows from personal experience that it is very much real, and happens to be quite prevalent in his school.  Mai Sakurajima is a third-year high school student who gained fame in her youth as a child actress, but recently halted her promising career for reasons unknown to the public. With an air of unapproachability, she is well known throughout the school, but none dare interact with her—that is until Sakuta sees her wandering the library in a bunny girl costume. Despite the getup, no one seems to notice her, and after confronting her, he realizes that she is another victim of Puberty Syndrome. As Sakuta tries to help Mai through her predicament, his actions bring him into contact with more girls afflicted with the elusive disease.  [Written by MAL Rewrite];AoButa;青春ブタ野郎はバニーガール先輩の夢を見ない
9;Another;https://myanimelist.net/anime/11111/Another;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Jan 10, 2012 to Mar 27, 2012;12;TV;Novel;['Horror', 'Mystery', 'Supernatural'];['Gore', 'School'];NOT_EXIST;['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo'];P.A. Works;Sentai Filmworks;['Takamori, Natsumi', 'Abe, Atsushi', 'Yonezawa, Madoka', 'Maeno, Tomoaki', 'Yamamoto, Kazutomi', 'Hirata, Hiroaki', 'Nonaka, Ai', 'Sakakibara, Naoko', 'Ichiki, Mitsuhiro'];[{'name': 'Horikawa, Kenji', 'role': 'Producer, Planning'}, {'name': 'Itou, Yoshiyuki', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Shinozaki, Fumihiko', 'role': 'Producer'}];7.48;#1810;R - 17+ (violence & profanity);16,885;#56;1,587,244;['Crunchyroll', 'Netflix'];"In class 3-3 of Yomiyama North Junior High, transfer student Kouichi Sakakibara makes his return after taking a sick leave for the first month of school. Among his new classmates, he is inexplicably drawn toward Mei Misaki—a reserved girl with an eyepatch whom he met in the hospital during his absence. But none of his classmates acknowledge her existence; they warn him not to acquaint himself with things that do not exist. Against their words of caution, Kouichi befriends Mei—soon learning of the sinister truth behind his friends' apprehension.  The ominous rumors revolve around a former student of the class 3-3. However, no one will share the full details of the grim event with Kouichi. Engrossed in the curse that plagues his class, Kouichi sets out to discover its connection to his new friend. As a series of tragedies arise around them, it is now up to Kouichi, Mei, and their classmates to unravel the eerie mystery—but doing so will come at a hefty price.  [Written by MAL Rewrite]";NOT_EXIST;アナザー
