;title;link;preliminary
0;Shingeki no Kyojin;https://myanimelist.net/anime/16498/Shingeki_no_Kyojin;off
0;Death Note;https://myanimelist.net/anime/1535/Death_Note;off
0;Fullmetal Alchemist: Brotherhood;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood;off
0;One Punch Man;https://myanimelist.net/anime/30276/One_Punch_Man;off
1;Sword Art Online;https://myanimelist.net/anime/11757/Sword_Art_Online;off
4;Boku no Hero Academia;https://myanimelist.net/anime/31964/Boku_no_Hero_Academia;off
2;Kimetsu no Yaiba;https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba;off
3;Naruto;https://myanimelist.net/anime/20/Naruto;off
4;Tokyo Ghoul;https://myanimelist.net/anime/22319/Tokyo_Ghoul;off
5;Hunter x Hunter (2011);https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011;off
2;Kimi no Na wa.;https://myanimelist.net/anime/32281/Kimi_no_Na_wa;off
9;Shingeki no Kyojin Season 2;https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2;off
0;"Steins;Gate";https://myanimelist.net/anime/9253/Steins_Gate;off
10;Boku no Hero Academia 2nd Season;https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season;off
6;Naruto: Shippuuden;https://myanimelist.net/anime/1735/Naruto__Shippuuden;off
1;No Game No Life;https://myanimelist.net/anime/19815/No_Game_No_Life;off
8;Jujutsu Kaisen;https://myanimelist.net/anime/40748/Jujutsu_Kaisen;off
13;Shingeki no Kyojin Season 3;https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3;off
4;Koe no Katachi;https://myanimelist.net/anime/28851/Koe_no_Katachi;off
9;One Piece;https://myanimelist.net/anime/21/One_Piece;on
1;Code Geass: Hangyaku no Lelouch;https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch;off
8;Toradora!;https://myanimelist.net/anime/4224/Toradora;off
9;Shigatsu wa Kimi no Uso;https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso;off
10;Re:Zero kara Hajimeru Isekai Seikatsu;https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu;off
16;Shingeki no Kyojin Season 3 Part 2;https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2;off
17;Boku no Hero Academia 3rd Season;https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season;off
11;Noragami;https://myanimelist.net/anime/20507/Noragami;off
2;Angel Beats!;https://myanimelist.net/anime/6547/Angel_Beats;off
12;Akame ga Kill!;https://myanimelist.net/anime/22199/Akame_ga_Kill;off
3;Boku dake ga Inai Machi;https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi;off
13;Nanatsu no Taizai;https://myanimelist.net/anime/23755/Nanatsu_no_Taizai;off
21;Mirai Nikki (TV);https://myanimelist.net/anime/10620/Mirai_Nikki_TV;off
2;Mob Psycho 100;https://myanimelist.net/anime/32182/Mob_Psycho_100;off
3;Ansatsu Kyoushitsu;https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu;off
14;Sword Art Online II;https://myanimelist.net/anime/21881/Sword_Art_Online_II;off
0;Haikyuu!!;https://myanimelist.net/anime/20583/Haikyuu;off
15;Ao no Exorcist;https://myanimelist.net/anime/9919/Ao_no_Exorcist;off
2;Yakusoku no Neverland;https://myanimelist.net/anime/37779/Yakusoku_no_Neverland;off
4;Kono Subarashii Sekai ni Shukufuku wo!;https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo;off
17;Bleach;https://myanimelist.net/anime/269/Bleach;off
27;Shingeki no Kyojin: The Final Season;https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season;off
3;Kiseijuu: Sei no Kakuritsu;https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu;off
4;Cowboy Bebop;https://myanimelist.net/anime/1/Cowboy_Bebop;off
7;Sen to Chihiro no Kamikakushi;https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi;off
5;Neon Genesis Evangelion;https://myanimelist.net/anime/30/Neon_Genesis_Evangelion;off
18;Tokyo Ghoul √A;https://myanimelist.net/anime/27899/Tokyo_Ghoul_%E2%88%9AA;off
6;Code Geass: Hangyaku no Lelouch R2;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;off
19;Fairy Tail;https://myanimelist.net/anime/6702/Fairy_Tail;off
7;Death Parade;https://myanimelist.net/anime/28223/Death_Parade;off
20;Violet Evergarden;https://myanimelist.net/anime/33352/Violet_Evergarden;off
