;name;link
0;---KING---;https://myanimelist.net/profile/---KING---
1;---Spartacus---;https://myanimelist.net/profile/---Spartacus---
2;---Zeref---;https://myanimelist.net/profile/---Zeref---
3;--Dark-san;https://myanimelist.net/profile/--Dark-san
4;--Dawn--;https://myanimelist.net/profile/--Dawn--
5;--Hasuki_Komai--;https://myanimelist.net/profile/--Hasuki_Komai--
6;--Magma--;https://myanimelist.net/profile/--Magma--
7;--Mon--;https://myanimelist.net/profile/--Mon--
8;--Natsukashii--;https://myanimelist.net/profile/--Natsukashii--
9;-Accelerator94-;https://myanimelist.net/profile/-Accelerator94-
10;-akiira;https://myanimelist.net/profile/-akiira
11;-Amnesia;https://myanimelist.net/profile/-Amnesia
12;-Animosity-;https://myanimelist.net/profile/-Animosity-
13;-Arcane-;https://myanimelist.net/profile/-Arcane-
14;-Arifin;https://myanimelist.net/profile/-Arifin
15;-ARMIN-;https://myanimelist.net/profile/-ARMIN-
16;-Bear;https://myanimelist.net/profile/-Bear
17;-Black-Reaper-;https://myanimelist.net/profile/-Black-Reaper-
18;-BosanTampan-;https://myanimelist.net/profile/-BosanTampan-
19;-budnick-;https://myanimelist.net/profile/-budnick-
20;-Caio;https://myanimelist.net/profile/-Caio
21;-Caxtelinho;https://myanimelist.net/profile/-Caxtelinho
22;-City_Hunter-;https://myanimelist.net/profile/-City_Hunter-
23;-Commander-;https://myanimelist.net/profile/-Commander-
24;-Craw94-;https://myanimelist.net/profile/-Craw94-
25;-cutthroat954;https://myanimelist.net/profile/-cutthroat954
26;-Dango_;https://myanimelist.net/profile/-Dango_
27;-DanZo-;https://myanimelist.net/profile/-DanZo-
28;-DeepWeeb-;https://myanimelist.net/profile/-DeepWeeb-
29;-Deoxys-;https://myanimelist.net/profile/-Deoxys-
30;-Droid-;https://myanimelist.net/profile/-Droid-
31;-flag-;https://myanimelist.net/profile/-flag-
32;-Funland-;https://myanimelist.net/profile/-Funland-
33;-FuruyaRei;https://myanimelist.net/profile/-FuruyaRei
34;-Heartthrob;https://myanimelist.net/profile/-Heartthrob
35;-HippySnob-;https://myanimelist.net/profile/-HippySnob-
0;-Izanagi;https://myanimelist.net/profile/-Izanagi
1;-Jinxren-;https://myanimelist.net/profile/-Jinxren-
2;-JmC-;https://myanimelist.net/profile/-JmC-
3;-KairuX-;https://myanimelist.net/profile/-KairuX-
4;-Karma;https://myanimelist.net/profile/-Karma
5;-Katchan-;https://myanimelist.net/profile/-Katchan-
6;-Kendall-;https://myanimelist.net/profile/-Kendall-
7;-Khaotic-;https://myanimelist.net/profile/-Khaotic-
8;-Koku;https://myanimelist.net/profile/-Koku
9;-Lazyan-;https://myanimelist.net/profile/-Lazyan-
10;-Lofn-;https://myanimelist.net/profile/-Lofn-
11;-Lucilfer-;https://myanimelist.net/profile/-Lucilfer-
12;-MakoMako-;https://myanimelist.net/profile/-MakoMako-
13;-mark;https://myanimelist.net/profile/-mark
14;-MCS-16;https://myanimelist.net/profile/-MCS-16
15;-Migge-;https://myanimelist.net/profile/-Migge-
16;-mintsky-;https://myanimelist.net/profile/-mintsky-
17;-MisT-;https://myanimelist.net/profile/-MisT-
18;-Mooners-;https://myanimelist.net/profile/-Mooners-
19;-Multi-;https://myanimelist.net/profile/-Multi-
20;-nowaifunolaifu-;https://myanimelist.net/profile/-nowaifunolaifu-
21;-nv-;https://myanimelist.net/profile/-nv-
22;-otakuman-;https://myanimelist.net/profile/-otakuman-
23;-Perverted-;https://myanimelist.net/profile/-Perverted-
24;-Princess-Kiyo-;https://myanimelist.net/profile/-Princess-Kiyo-
25;-Quintus-;https://myanimelist.net/profile/-Quintus-
26;-rarara;https://myanimelist.net/profile/-rarara
27;-Retsu-;https://myanimelist.net/profile/-Retsu-
28;-Riamu-;https://myanimelist.net/profile/-Riamu-
29;-Ryuutoshi-;https://myanimelist.net/profile/-Ryuutoshi-
