;user;user_link
30.0;weebekah;https://myanimelist.net/profile/weebekah
34.0;Hexidemon;https://myanimelist.net/profile/Hexidemon
35.0;Dornhub8;https://myanimelist.net/profile/Dornhub8
36.0;MateoK;https://myanimelist.net/profile/MateoK
39.0;Karlimeroman;https://myanimelist.net/profile/Karlimeroman
42.0;anilist-miistars;https://myanimelist.net/profile/anilist-miistars
44.0;ethearl;https://myanimelist.net/profile/ethearl
16.0;AnimationPower;https://myanimelist.net/profile/AnimationPower
20.0;Sakatan;https://myanimelist.net/profile/Sakatan
25.0;slaypotato;https://myanimelist.net/profile/slaypotato
27.0;Aicee_Jie;https://myanimelist.net/profile/Aicee_Jie
29.0;_oppai_dragon;https://myanimelist.net/profile/_oppai_dragon
30.0;TheAlchemistv;https://myanimelist.net/profile/TheAlchemistv
37.0;Counter_Force;https://myanimelist.net/profile/Counter_Force
38.0;KillyChides;https://myanimelist.net/profile/KillyChides
40.0;yoFizz;https://myanimelist.net/profile/yoFizz
45.0;Speedster120;https://myanimelist.net/profile/Speedster120
4.0;Abstudios07;https://myanimelist.net/profile/Abstudios07
5.0;distory1all;https://myanimelist.net/profile/distory1all
9.0;rubigriffin;https://myanimelist.net/profile/rubigriffin
10.0;WuGee;https://myanimelist.net/profile/WuGee
17.0;killermortx;https://myanimelist.net/profile/killermortx
18.0;ThrasherGumu;https://myanimelist.net/profile/ThrasherGumu
21.0;iman25;https://myanimelist.net/profile/iman25
22.0;noidead;https://myanimelist.net/profile/noidead
28.0;Mantarted;https://myanimelist.net/profile/Mantarted
29.0;NotFoolingNobody;https://myanimelist.net/profile/NotFoolingNobody
31.0;Weeb_and_Proud;https://myanimelist.net/profile/Weeb_and_Proud
33.0;Scahr;https://myanimelist.net/profile/Scahr
0.0;sevi00;https://myanimelist.net/profile/sevi00
5.0;Hayabusa54;https://myanimelist.net/profile/Hayabusa54
8.0;Sir_Lancelot;https://myanimelist.net/profile/Sir_Lancelot
9.0;KevinISan;https://myanimelist.net/profile/KevinISan
14.0;melyynal;https://myanimelist.net/profile/melyynal
19.0;torryn;https://myanimelist.net/profile/torryn
20.0;golisopod;https://myanimelist.net/profile/golisopod
30.0;CamiloMerendeiro;https://myanimelist.net/profile/CamiloMerendeiro
31.0;Maxthon99;https://myanimelist.net/profile/Maxthon99
